Application id,income,age,employment,loan amount,previous default,debt,credit history,creditworthiness
APP00096,49539,64,Employed,90684,Yes,67648,Poor,No
APP00097,73484,28,Employed,59949,Yes,55048,Poor,No
APP00098,53333,44,Employed,66650,No,73319,Average,No
APP00099,77055,,Employed,78776,No,23534,Good,Yes
APP00100,25460,37,Employed,29636,No,1763,Good,Yes
APP00101,49358,28,Employed,83587,No,26356,Good,Yes
APP00102,130232,55,Employed,44706,No,77783,Average,Yes
APP00103,42486,55,Employed,21687,No,70676,Average,Yes
APP00104,45724,53,Self-Employed,38261,No,4978,Good,Yes
APP00105,49046,25,Self-Employed,28382,No,40655,Average,Yes
APP00106,34733,62,Self-Employed,26728,No,7242,Good,Yes
APP00107,22212,59,Employed,31844,No,63333,Average,Yes
APP00108,54086,61,Employed,22188,No,30437,Good,Yes
APP00109,63783,48,Self-Employed,68432,No,73044,Average,No
APP00110,58599,27,Employed,60099,No,5302,Good,Yes
APP00111,56213,29,Employed,66602,Yes,58986,Good,No
APP00112,61173,28,Self-Employed,37654,No,32550,Good,Yes
APP00113,95071,32,Employed,78125,No,22190,Poor,No
APP00114,55072,54,Employed,17313,Yes,41878,Average,No
APP00115,46340,53,Self-Employed,59258,No,39353,Good,Yes
APP00116,52870,43,Unemployed,31168,No,28556,Average,Yes
APP00117,77871,44,Employed,55123,No,52260,Average,Yes
APP00118,,57,Employed,35746,No,53244,Average,Yes
APP00119,45226,55,Employed,80099,No,7094,Good,Yes
APP00120,,64,Self-Employed,89671,No,48038,Good,Yes
APP00121,69868,60,Employed,75545,No,57148,Good,Yes
APP00122,38386,42,Employed,21680,No,6995,Good,Yes
APP00123,60554,47,Unemployed,31112,No,53071,Average,No
APP00124,31025,55,,92339,No,64514,Good,No
APP00125,27066,21,Unemployed,46536,No,66724,Good,No
APP00126,70766,55,Unemployed,94412,No,4290,Good,Yes
APP00127,50481,57,Employed,42283,No,56096,Good,Yes
APP00128,65718,34,Self-Employed,95419,No,63961,Poor,No
APP00129,59519,23,Employed,92945,No,32349,Poor,No
APP00130,38666,21,Self-Employed,67750,Yes,43884,Good,No
APP00131,58790,25,Self-Employed,5839,No,21944,Average,Yes
APP00132,34448,46,Employed,43032,Yes,25509,Good,Yes
APP00133,112200,34,Self-Employed,91567,No,40628,Average,Yes
APP00134,32595,59,Self-Employed,89085,No,12940,Good,Yes
APP00135,54940,47,Employed,22802,No,30271,Good,Yes
APP00136,37537,29,Employed,42922,No,24813,Poor,No
APP00137,77559,35,Employed,84373,Yes,19822,Poor,No
APP00138,51687,35,Employed,59898,No,39227,Good,Yes
APP00139,47510,46,Unemployed,85493,No,67256,Poor,No
APP00140,88084,62,Self-Employed,83524,Yes,20139,Average,No
APP00141,60800,33,Employed,91211,No,53119,Good,Yes
APP00142,75704,52,Employed,16136,No,21081,Good,Yes
APP00143,,59,Employed,18795,No,12225,Good,Yes
APP00144,31886,52,Employed,12867,No,75522,Average,Yes
APP00145,62966,24,Employed,93851,No,51026,Poor,No
APP00146,51980,50,Employed,50140,Yes,9263,Good,Yes
APP00147,,57,Employed,11111,No,50979,Average,Yes
APP00148,57881,43,Unemployed,35545,No,14931,Average,No
APP00149,65801,59,Employed,38384,No,71136,Good,Yes
APP00150,28899,65,Employed,81908,No,20550,Good,Yes
APP00151,140350,35,Employed,74870,No,64737,Good,Yes
APP00152,55725,63,Unemployed,70492,No,16736,Good,Yes
APP00153,82126,49,Self-Employed,7077,No,45105,Poor,Yes
APP00154,41186,56,Self-Employed,91516,No,73074,Good,No
APP00155,,33,Employed,25478,No,24384,Good,Yes
APP00156,33384,52,Employed,64761,No,7430,Average,Yes
APP00157,73536,27,Employed,10873,No,44655,Good,Yes
APP00158,51119,42,Employed,12745,No,14614,Good,Yes
APP00159,60793,48,Self-Employed,5910,No,58539,Good,Yes
APP00160,82141,22,Unemployed,58763,Yes,47675,Good,No
APP00161,34457,62,Employed,64791,No,28364,Average,Yes
APP00162,44094,65,Employed,9794,No,56747,Good,Yes
APP00163,73710,26,Self-Employed,32596,Yes,19844,Average,No
APP00164,154245,48,,85888,No,73446,Good,Yes
APP00165,56385,48,Employed,14624,No,28404,Good,Yes
APP00166,78285,64,Self-Employed,25572,No,61274,Good,Yes
APP00167,57180,64,Employed,45317,No,21423,Poor,Yes
APP00168,143790,40,Self-Employed,85016,Yes,57471,Good,No
APP00169,27333,50,Employed,29211,No,3491,Good,Yes
APP00170,62610,31,Self-Employed,99728,No,24346,Average,No
APP00171,28871,48,Self-Employed,38750,No,8338,Good,Yes
APP00172,19422,45,Self-Employed,41713,No,36646,Good,Yes
APP00173,68594,59,Employed,16600,No,35374,Good,Yes
APP00174,63887,53,Employed,69619,Yes,29362,Average,No
APP00175,52782,21,Employed,28129,No,78512,Poor,No
APP00176,57200,47,Employed,64742,No,20283,Good,Yes
APP00177,241913,33,Self-Employed,26200,No,63493,Good,Yes
APP00178,53419,61,Employed,41848,No,36348,Good,Yes
APP00179,75482,23,Self-Employed,86384,No,27450,Average,No
APP00180,44797,59,,75196,Yes,17074,Good,Yes
APP00181,68525,26,Employed,19686,No,51039,Good,Yes
APP00182,53900,28,Self-Employed,62732,No,27361,Average,Yes
APP00183,49880,47,Employed,64721,No,65221,Good,Yes
APP00184,136026,29,Self-Employed,13604,No,77509,Good,Yes
APP00185,101909,57,Employed,49252,No,18943,Poor,Yes
APP00186,63808,53,Unemployed,29763,No,11165,Poor,No
APP00187,21273,62,Employed,49377,No,25926,Good,Yes
APP00188,51003,64,,78822,No,37902,Good,Yes
APP00189,202493,44,Employed,20035,No,24776,Good,Yes
APP00190,54084,35,Employed,16714,No,77667,Good,Yes
APP00191,98573,52,Unemployed,30585,No,62557,Poor,No
APP00192,114803,52,Self-Employed,95466,No,77325,Average,No
APP00193,66213,,Employed,76043,No,30486,Average,Yes
APP00194,41080,61,Employed,6848,No,25069,Good,Yes
APP00195,20055,32,Employed,43095,No,33182,Good,Yes
APP00196,81632,59,Employed,29453,Yes,42304,Good,Yes
APP00197,41584,22,Self-Employed,65624,Yes,59583,Good,No
APP00198,64950,23,Employed,48633,No,70607,Good,Yes
APP00199,34190,57,Employed,96627,No,37591,Good,Yes
APP00200,53249,37,Employed,25803,No,23845,Good,Yes
APP00201,60917,22,Employed,60846,No,26189,Good,Yes
APP00202,67708,22,,71520,No,56059,Good,Yes
APP00203,36331,48,Unemployed,83429,No,45837,Good,No
APP00204,102817,43,Employed,43662,No,39433,Good,Yes
APP00205,45867,57,Self-Employed,70258,No,17019,Good,Yes
APP00206,28243,52,Employed,33804,No,70161,Good,Yes
APP00207,57127,53,Employed,46370,Yes,62701,Poor,No
APP00208,60935,21,Employed,90085,No,12110,Good,Yes
APP00209,64496,39,Employed,95241,No,30024,Average,No
APP00210,110753,22,Employed,73288,No,43828,Poor,No
APP00211,53944,64,Employed,40563,No,36893,Good,Yes
APP00212,56856,46,Self-Employed,82905,No,32426,Good,Yes
APP00213,36522,52,Self-Employed,7457,No,57788,Good,Yes
APP00214,86799,26,Unemployed,14761,No,5306,Good,Yes
APP00215,65189,52,Employed,67831,No,38241,Good,Yes
APP00216,49667,,Employed,32669,No,21712,Average,Yes
APP00217,25463,31,Employed,95382,No,7685,Good,Yes
APP00218,114931,37,Employed,46426,No,37726,Poor,Yes
APP00219,34532,58,Employed,45790,No,14538,Average,Yes
APP00220,45983,44,Employed,69418,No,21400,Good,Yes
APP00221,70499,25,Employed,77919,No,41054,Good,Yes
APP00222,35019,54,Employed,50178,No,77923,Good,Yes
APP00223,30639,26,Employed,25330,No,55056,Good,Yes
APP00224,23071,,Employed,78464,No,23090,Good,Yes
APP00225,82996,31,Employed,35433,No,31210,Average,Yes
APP00226,46947,36,Employed,21636,No,33085,Good,Yes
APP00227,223993,,Self-Employed,65006,No,13137,Good,Yes
APP00228,38355,29,Employed,13593,No,13692,Average,Yes
APP00229,39634,26,Self-Employed,97279,Yes,12723,Good,No
APP00230,46522,36,Employed,65078,No,42211,Good,Yes
APP00231,66937,49,Employed,98660,Yes,54261,Good,No
APP00232,48558,23,,37195,No,47667,Good,Yes
APP00233,79035,40,Employed,97264,No,78244,Average,No
APP00234,38628,56,Employed,18828,No,10944,Poor,Yes
APP00235,,39,Self-Employed,8866,No,78931,Good,Yes
APP00236,26713,46,Employed,8133,No,37867,Good,Yes
APP00237,22059,23,Employed,49163,No,18272,Good,Yes
APP00238,47523,39,Self-Employed,12885,No,75519,Average,No
APP00239,52400,40,Self-Employed,53656,No,38020,Average,Yes
APP00240,45159,52,Employed,36113,No,28440,Good,Yes
APP00241,104991,27,Employed,36885,No,17891,Good,Yes
APP00242,104267,61,,65383,No,22162,Poor,No
APP00243,51608,53,Employed,20494,No,78358,Good,Yes
APP00244,26765,60,Employed,77823,No,25014,Average,No
APP00245,46494,59,Employed,60293,No,78247,Average,Yes
APP00246,45806,38,Unemployed,91920,No,27087,Good,No
APP00247,44640,60,Employed,39660,No,19282,Average,Yes
APP00248,43832,21,Self-Employed,98358,No,15486,Good,Yes
APP00249,44714,31,Employed,59704,No,33537,Poor,No
APP00250,50421,48,Employed,97473,Yes,19708,Good,No
APP00251,45076,45,Self-Employed,7571,No,56058,Good,Yes
APP00252,65897,43,Unemployed,74158,No,19942,Good,Yes
APP00253,70563,51,Employed,82579,No,66996,Average,No
APP00254,39827,50,Employed,10051,No,66887,Good,Yes
APP00255,106306,62,Unemployed,60002,No,23557,Good,Yes
APP00256,38602,55,Employed,81185,No,60530,Good,Yes
APP00257,28972,27,Employed,58299,No,68746,Good,Yes
APP00258,71214,36,Employed,11062,No,47620,Average,Yes
APP00259,41534,46,Self-Employed,70877,No,29940,Good,Yes
APP00260,69333,22,Self-Employed,10757,No,35836,Average,Yes
APP00261,20342,21,Unemployed,82660,Yes,63112,Average,No
APP00262,112275,32,Employed,9088,No,24172,Poor,Yes
APP00263,81197,25,Employed,18053,Yes,27423,Average,No
APP00264,30543,57,Employed,31135,Yes,13702,Good,Yes
APP00265,30843,52,Employed,65170,No,32525,Good,Yes
APP00266,127340,29,Employed,97754,Yes,7835,Poor,No
APP00267,43057,61,Employed,16193,Yes,26362,Poor,No
APP00268,41222,55,Employed,18557,No,30505,Good,Yes
APP00269,21642,39,Employed,40043,Yes,21183,Poor,No
APP00270,51239,36,Self-Employed,84441,No,9007,Average,Yes
APP00271,54156,23,Self-Employed,49387,No,42212,Poor,No
APP00272,82791,40,Employed,35553,No,69341,Average,Yes
APP00273,31969,44,Employed,58314,No,27516,Poor,No
APP00274,30272,53,Employed,29750,No,19707,Poor,Yes
APP00275,73499,44,Self-Employed,43110,Yes,23518,Good,No
APP00276,94384,31,Employed,36597,Yes,69089,Poor,No
APP00277,29587,28,Self-Employed,81393,No,42697,Good,No
APP00278,97614,56,Employed,92804,No,11332,Good,Yes
APP00279,61022,58,Employed,77159,Yes,57029,Average,No
APP00280,98068,60,Self-Employed,46713,No,13195,Average,Yes
APP00281,58134,40,Employed,52912,Yes,5759,Poor,No
APP00282,19285,55,Employed,16882,No,21199,Good,Yes
APP00283,56034,45,Employed,75952,Yes,14279,Good,Yes
APP00284,,55,Employed,61665,No,48795,Good,Yes
APP00285,40131,45,Employed,90732,Yes,39281,Good,No
APP00286,50388,49,,24058,Yes,58201,Average,No
APP00287,55428,38,Self-Employed,77174,Yes,41414,Good,No
APP00288,18000,38,Self-Employed,70044,No,34101,Good,Yes
APP00289,127288,22,Self-Employed,30255,Yes,42571,Good,No
APP00290,39994,55,Employed,68401,No,35324,Average,Yes
APP00291,75334,36,Employed,92815,No,3930,Good,Yes
APP00292,57704,61,Employed,92251,No,54775,Average,Yes
APP00293,105665,56,Employed,73365,No,77008,Good,Yes
APP00294,72029,53,,9567,Yes,34341,Good,Yes
APP00295,53981,24,Unemployed,87865,No,34475,Poor,No
APP00296,40136,53,Employed,67489,Yes,4616,Good,Yes
APP00297,85917,34,Unemployed,34491,No,71340,Good,No
APP00298,25824,41,Employed,22789,No,74401,Average,Yes
APP00299,80238,40,Employed,16039,Yes,65238,Average,No
APP00300,36590,28,Employed,9773,No,9401,Average,Yes
APP00301,105412,27,Employed,76640,No,72118,Average,No
APP00302,64517,,Employed,27405,No,2892,Good,Yes
APP00303,80174,37,Self-Employed,7304,No,36121,Good,Yes
APP00304,62255,53,Self-Employed,42741,No,40549,Good,Yes
APP00305,27270,32,Employed,50848,No,66886,Poor,No
APP00306,40732,42,Employed,21077,Yes,60318,Poor,No
APP00307,81200,42,,9185,No,63971,Good,Yes
APP00308,64673,50,Self-Employed,22967,No,69564,Good,Yes
APP00309,102083,58,Employed,69515,No,38610,Good,Yes
APP00310,71939,58,Self-Employed,12813,No,62640,Average,Yes
APP00311,38835,65,Employed,57729,No,6375,Good,Yes
APP00312,41935,28,Employed,18909,No,36119,Average,Yes
APP00313,62844,47,Employed,23590,No,3380,Poor,Yes
APP00314,21179,47,Employed,42342,Yes,73310,Poor,No
APP00315,127408,54,Employed,14578,No,76715,Good,Yes
APP00316,,41,Employed,21454,No,7631,Poor,Yes
APP00317,104221,50,Self-Employed,38150,No,43078,Average,Yes
APP00318,29461,53,Unemployed,36319,No,26686,Good,Yes
APP00319,105046,48,Unemployed,76181,No,28060,Good,Yes
APP00320,163779,53,Employed,12104,No,36605,Average,Yes
APP00321,33114,25,Employed,86743,No,10880,Poor,No
APP00322,84900,39,Employed,82542,No,15281,Good,Yes
APP00323,60030,24,Self-Employed,77769,No,46612,Good,Yes
APP00324,29945,55,Employed,34390,Yes,2482,Good,Yes
APP00325,74899,37,Employed,83174,Yes,48384,Poor,No
APP00326,87310,64,Employed,22366,No,26194,Poor,Yes
APP00327,45780,48,Employed,16819,No,66744,Good,Yes
APP00328,101393,50,Employed,9271,No,48401,Good,Yes
APP00329,28341,49,Self-Employed,94234,No,56939,Poor,No
APP00330,30622,26,Employed,34261,No,10040,Average,Yes
APP00331,63804,55,Employed,92174,No,22003,Poor,Yes
APP00332,60689,61,Employed,30898,No,79737,Poor,No
APP00333,43462,57,Employed,91219,No,35259,Good,Yes
APP00334,86372,44,Employed,90873,No,29350,Average,Yes
APP00335,76191,49,Self-Employed,92749,No,70035,Good,Yes
APP00336,88279,51,Employed,52135,Yes,3613,Average,Yes
APP00337,56766,55,Self-Employed,87265,No,43247,Average,No
APP00338,78689,53,Employed,95323,No,17610,Poor,No
APP00339,49097,41,Employed,35839,No,30084,Poor,Yes
APP00340,151194,,Self-Employed,44793,No,16782,Good,Yes
APP00341,41625,43,Employed,73328,No,3988,Good,Yes
APP00342,154737,53,Employed,33534,No,33904,Good,Yes
APP00343,60949,23,Unemployed,76612,No,63347,Poor,No
APP00344,32310,38,Employed,12020,No,76204,Average,No
APP00345,111050,45,Employed,54732,No,50284,Poor,Yes
APP00346,63497,62,Self-Employed,16620,No,31718,Average,Yes
APP00347,88001,51,Employed,32866,No,61819,Good,Yes
APP00348,104072,23,,29569,No,40913,Good,Yes
APP00349,69855,60,Employed,84699,No,30042,Good,Yes
APP00350,45963,44,,23384,No,15148,Average,Yes
APP00351,93076,52,Employed,81803,No,63894,Poor,No
APP00352,60020,42,Employed,80426,No,40534,Good,Yes
APP00353,81694,43,Employed,52394,No,77140,Poor,No
APP00354,22764,22,Employed,27215,Yes,64351,Good,No
APP00355,,47,Employed,26555,No,34181,Good,Yes
APP00356,45014,62,Employed,49168,No,59527,Good,Yes
APP00357,126259,22,Employed,5837,No,36818,Good,Yes
APP00358,,46,Unemployed,55478,No,7309,Poor,No
APP00359,66839,37,Employed,95514,No,41818,Good,Yes
APP00360,74678,60,Self-Employed,19697,No,69393,Good,Yes
APP00361,38285,53,Employed,59468,Yes,68580,Average,No
APP00362,124563,29,Employed,96369,Yes,46422,Poor,No
APP00363,147004,63,Employed,86750,No,31022,Average,Yes
APP00364,71604,,Self-Employed,85786,No,1798,Good,Yes
APP00365,122735,49,Employed,83076,No,25601,Good,Yes
APP00366,46443,62,Self-Employed,34357,Yes,79195,Good,No
APP00367,41915,46,Unemployed,89609,No,58393,Good,No
APP00368,61115,55,Employed,94427,No,57689,Poor,No
APP00369,72971,45,Employed,52100,No,61126,Good,Yes
APP00370,50252,44,Employed,38684,No,49989,Good,Yes
APP00371,76427,33,Employed,44352,No,47283,Average,Yes
APP00372,68870,27,Employed,36750,No,36836,Poor,No
APP00373,38287,56,Self-Employed,25180,No,36071,Good,Yes
APP00374,75778,,Employed,63753,No,69797,Good,Yes
APP00375,88494,40,Employed,58447,Yes,32083,Good,Yes
APP00376,64813,21,Employed,48946,No,67383,Good,Yes
APP00377,100790,28,Unemployed,14105,No,67181,Good,Yes
APP00378,34692,36,Employed,80705,No,61901,Good,Yes
APP00379,74063,34,Unemployed,21619,Yes,3974,Good,Yes
APP00380,35436,32,Unemployed,15883,No,12690,Good,Yes
APP00381,36343,43,Employed,64192,No,25862,Good,Yes
APP00382,45170,35,Employed,42871,No,67955,Poor,No
APP00383,39268,48,Employed,10682,No,69987,Good,Yes
APP00384,46887,54,Employed,38779,No,4283,Poor,No
APP00385,54488,22,Self-Employed,78319,No,26653,Good,Yes
APP00386,87450,52,Employed,63449,No,68180,Average,Yes
APP00387,51926,43,Employed,39465,No,20726,Good,Yes
APP00388,29395,42,Employed,23221,Yes,78104,Good,No
APP00389,100221,45,Employed,65021,No,39655,Average,Yes
APP00390,41168,42,Employed,89318,No,75048,Average,No
APP00391,58435,42,Employed,66396,No,34877,Poor,Yes
APP00392,73353,62,Self-Employed,82226,No,26580,Average,Yes
APP00393,65639,26,Employed,54545,No,29630,Good,Yes
APP00394,98172,35,Employed,73207,No,70860,Good,Yes
APP00395,,63,Self-Employed,90142,No,27124,Good,Yes
APP00396,40721,57,Unemployed,78452,No,53878,Good,No
APP00397,159924,53,Employed,91436,No,38118,Average,Yes
APP00398,65483,28,Employed,45958,No,75392,Good,Yes
APP00399,56151,64,,90901,No,13590,Poor,Yes
APP00400,92584,64,Employed,64049,No,34864,Good,Yes
APP00401,67128,25,Self-Employed,87655,No,10846,Good,Yes
APP00402,71808,59,Employed,8741,No,46673,Good,Yes
APP00403,184164,24,Self-Employed,67496,No,32829,Good,Yes
APP00404,53013,26,Employed,85558,No,5814,Average,No
APP00405,52006,65,Employed,21549,No,68137,Poor,No
APP00406,63232,52,Employed,67870,No,30666,Good,Yes
APP00407,97176,50,Employed,83371,Yes,39997,Average,No
APP00408,30460,55,Employed,32355,No,33194,Average,Yes
APP00409,24775,60,Employed,43498,No,39604,Poor,No
APP00410,46069,36,Employed,59104,Yes,2290,Good,Yes
APP00411,28763,33,Self-Employed,54321,Yes,65421,Good,No
APP00412,49559,,Employed,8723,No,27252,Good,Yes
APP00413,75224,50,Self-Employed,14374,No,58232,Good,Yes
APP00414,40186,39,Employed,14544,Yes,6126,Good,Yes
APP00415,31572,37,Self-Employed,29915,No,42382,Good,Yes
APP00416,,39,Unemployed,28357,Yes,72795,Average,No
APP00417,88455,48,Employed,75511,Yes,32462,Good,Yes
APP00418,,46,Self-Employed,59411,No,16583,Average,Yes
APP00419,86786,57,Employed,77578,Yes,8827,Average,No
APP00420,86672,46,Self-Employed,11640,No,68868,Poor,No
APP00421,92174,43,Employed,51095,No,19866,Good,Yes
APP00422,103820,29,Employed,35759,No,78031,Good,Yes
APP00423,,32,Employed,85744,No,20578,Good,Yes
APP00424,51116,21,Employed,72240,No,38998,Good,Yes
APP00425,63033,21,Employed,87580,No,37182,Average,No
APP00426,49747,,Unemployed,9411,Yes,5899,Good,No
APP00427,60053,52,Self-Employed,73478,No,43015,Good,Yes
APP00428,119598,45,Employed,56301,No,54139,Good,Yes
APP00429,32756,60,Self-Employed,83375,No,59629,Good,Yes
APP00430,40726,65,Self-Employed,53180,Yes,42285,Poor,No
APP00431,111506,21,Employed,56320,No,65194,Poor,No
APP00432,,36,Employed,9918,Yes,60416,Good,No
APP00433,50955,59,Employed,68510,No,16324,Good,Yes
APP00434,88131,25,Self-Employed,30948,No,32727,Poor,No
APP00435,69958,42,Self-Employed,6871,Yes,12264,Poor,No
APP00436,117857,49,Employed,11312,No,11540,Poor,Yes
APP00437,62046,23,Employed,95942,No,57258,Good,Yes
APP00438,95190,32,Self-Employed,37877,Yes,42906,Good,No
APP00439,197009,46,Unemployed,87467,No,48475,Good,Yes
APP00440,78531,36,Self-Employed,96169,No,58843,Poor,No
APP00441,61347,57,Employed,94610,Yes,22902,Poor,No
APP00442,83050,42,Employed,88764,No,32708,Good,Yes
APP00443,50905,49,Employed,90010,Yes,48937,Good,No
APP00444,175727,34,Employed,32456,No,8634,Average,Yes
APP00445,65064,48,Self-Employed,19390,No,66811,Average,No
APP00446,53065,25,Employed,65730,No,28133,Average,Yes
APP00447,41194,50,Self-Employed,51370,Yes,53041,Average,No
APP00448,98307,25,Employed,14381,No,79650,Good,Yes
APP00449,88640,32,Self-Employed,69366,No,38554,Good,Yes
APP00450,47968,36,Employed,58472,No,17989,Average,Yes
APP00451,77769,46,Employed,86991,No,18098,Average,Yes
APP00452,30432,46,Employed,62872,No,5770,Good,Yes
APP00453,65208,41,Employed,59525,Yes,61600,Good,No
APP00454,73559,59,Unemployed,46871,No,24181,Average,Yes
APP00455,129366,56,Employed,48965,Yes,14645,Good,Yes
APP00456,42414,53,Employed,95666,No,57382,Good,Yes
APP00457,33754,50,Self-Employed,18152,No,25422,Average,Yes
APP00458,40101,57,Self-Employed,47391,No,48437,Average,No
APP00459,32881,43,Employed,67304,No,34008,Average,Yes
APP00460,109491,30,Unemployed,46136,No,27398,Good,Yes
APP00461,120450,25,Employed,31905,Yes,39665,Good,Yes
APP00462,69300,56,,32299,No,25790,Good,Yes
APP00463,103952,54,Employed,27197,No,69775,Average,Yes
APP00464,63728,51,,37671,No,6770,Average,Yes
APP00465,57486,30,Employed,87809,No,3382,Good,Yes
APP00466,51649,39,Employed,52996,Yes,33105,Good,No
APP00467,52178,52,Employed,27823,No,14655,Good,Yes
APP00468,29899,21,Self-Employed,41530,Yes,59754,Good,No
APP00469,67576,25,Employed,15054,No,28921,Good,Yes
APP00470,58921,65,Unemployed,90883,No,21654,Average,No
APP00471,83911,24,Self-Employed,43779,Yes,29391,Average,No
