Employee_ID,Age,Monthly_Income,Years_at_Company,Job_Level,Overtime,Job_Satisfaction,Work_Life_Balance,Performance_Score,Distance_from_Home_km,Training_Hours_Last_Year,Promotions_Last_5_Years,Salary_Hike_Percent,Stock_Option,Business_Travel,Department,Education_Level,Job_Role,Marital_Status,Monthly_Working_Hours,Projects_Handled,Late_Days_Last_3_Months,Absence_Days_Last_Year,Commute_Time_Minutes,Employee_Engagement_Score,Manager_Rating,Internal_Transfers,Remote_Work_Days_Per_Week,Certifications,Team_Size,Attrition
EMP00011,54,68743.0,3.1,2,Yes,5,4,3.3,39,6,1,19,No,Frequent,Sales,PhD,Associate,Married,141.0,8,3,2,97.0,3.8,3.4,0,2,0,13,0
EMP00012,52,73846.0,1.4,1,No,3,2,3.3,37,3,0,6,No,Never,Marketing,Bachelor,Specialist,Single,184.0,5,2,3,46.0,2.0,2.4,0,5,2,20,1
EMP00013,49,87086.0,7.6,3,No,3,3,4.7,29,4,0,5,No,Never,Sales,Bachelor,Executive,Single,167.0,8,2,4,48.0,2.4,2.6,1,5,0,16,1
EMP00014,57,61889.0,2.5,2,Yes,5,2,2.8,39,19,0,6,No,Rarely,IT,MBA,Executive,Single,155.0,7,1,1,56.0,3.7,2.6,1,3,1,9,1
EMP00015,49,68032.0,3.7,2,Yes,2,5,3.8,15,8,0,9,No,Never,Finance,Master,Executive,Married,175.0,3,0,1,37.0,2.7,3.5,0,4,0,12,0
EMP00016,28,30369.0,4.2,2,No,4,3,2.9,35,18,0,9,No,Frequent,Finance,Master,Consultant,Married,197.0,7,5,4,45.0,3.4,2.7,0,1,2,6,0
EMP00017,55,39543.0,2.1,2,Yes,3,5,2.7,35,11,1,12,No,Never,Sales,MBA,Associate,Married,226.0,4,3,4,57.0,2.9,3.1,0,3,0,4,0
EMP00018,47,69265.0,6.2,2,No,2,5,3.8,8,11,3,10,No,Never,HR,MBA,Associate,Married,153.0,8,4,4,29.0,2.3,1.9,1,4,1,17,0
EMP00019,24,62278.0,5.9,3,No,5,5,3.7,14,14,2,12,No,Never,Finance,MBA,Specialist,Married,176.0,5,3,5,31.0,2.8,3.8,0,5,1,18,1
EMP00020,32,51557.0,4.1,4,Yes,1,3,3.1,36,15,0,15,No,Never,Marketing,Bachelor,Specialist,Married,162.0,6,0,4,28.0,2.5,2.8,0,1,4,10,1
EMP00021,27,44980.0,5.7,2,No,5,5,3.3,39,10,1,5,Yes,Rarely,Operations,Master,Specialist,Single,207.0,6,3,2,33.0,2.5,3.3,0,1,1,4,0
EMP00022,59,75918.0,7.9,2,Yes,4,2,3.8,7,14,1,16,No,Never,IT,Bachelor,Analyst,Married,205.0,2,0,4,45.0,2.2,4.6,0,5,2,10,1
EMP00023,50,64003.0,2.6,1,No,2,4,4.0,40,7,1,12,Yes,Rarely,IT,Master,Executive,Single,210.0,6,3,2,40.0,2.6,2.4,0,1,0,7,0
EMP00024,57,51721.0,3.3,3,No,5,2,2.2,12,20,0,19,No,Frequent,Operations,Bachelor,Executive,Single,179.0,5,4,4,41.0,4.0,2.1,1,5,0,12,1
EMP00025,32,121882.0,3.5,2,No,5,4,2.8,39,13,3,15,No,Frequent,Operations,Bachelor,Specialist,Divorced,131.0,5,4,5,40.0,2.4,3.4,0,1,0,11,0
EMP00026,46,53326.0,10.6,5,No,2,1,3.2,6,4,1,15,No,Never,Operations,Master,Specialist,Single,173.0,8,0,3,55.0,3.1,3.0,0,5,4,6,0
EMP00027,45,45976.0,5.1,3,No,1,3,3.7,19,0,0,16,No,Rarely,Marketing,MBA,Associate,Married,165.0,6,1,2,57.0,2.6,3.0,0,3,3,3,1
EMP00028,51,91332.0,7.3,4,No,3,5,3.5,10,7,0,7,No,Frequent,IT,PhD,Manager,Married,177.0,4,2,5,38.0,2.9,3.2,1,3,1,17,1
EMP00029,25,42349.0,1.6,1,Yes,2,3,2.2,11,7,0,11,No,Never,Finance,Master,Executive,Married,191.0,6,3,3,67.0,3.5,4.4,0,3,1,12,0
EMP00030,41,46208.0,4.5,2,No,3,5,4.0,4,8,0,8,No,Rarely,Finance,Bachelor,Consultant,Divorced,204.0,8,1,5,63.0,3.4,3.0,1,1,1,4,0
EMP00031,46,67444.0,12.4,5,Yes,3,2,3.1,33,6,1,13,Yes,Rarely,Operations,Bachelor,Associate,Single,181.0,7,1,3,60.0,3.9,3.6,1,2,0,17,0
EMP00032,54,107596.0,8.1,4,No,5,5,3.5,7,17,0,15,No,Never,HR,Bachelor,Executive,Single,159.0,3,2,3,58.0,3.5,3.4,1,1,0,7,1
EMP00033,47,50527.0,5.5,3,No,3,4,3.6,15,2,2,9,No,Frequent,Marketing,Bachelor,Associate,Single,230.0,12,2,2,31.0,2.8,2.3,0,4,0,15,0
EMP00034,38,28484.0,1.1,1,No,1,1,3.3,27,6,1,7,No,Rarely,IT,PhD,Analyst,Single,152.0,9,1,3,66.0,2.4,2.7,0,3,1,20,1
EMP00035,39,89751.0,15.0,4,Yes,4,5,3.6,19,9,3,12,No,Rarely,Sales,Bachelor,Executive,Married,166.0,6,4,4,46.0,4.2,2.5,0,5,2,9,0
EMP00036,34,58929.0,11.5,4,No,1,2,3.1,1,10,0,10,No,Never,HR,Master,Associate,Single,150.0,5,2,3,64.0,3.6,3.1,1,2,3,11,0
EMP00037,27,83714.0,0.8,1,No,3,4,3.7,39,8,2,6,No,Rarely,Sales,Bachelor,Manager,Single,176.0,5,1,4,45.0,2.6,3.2,1,3,4,19,0
EMP00038,32,71054.0,2.0,2,Yes,1,2,4.0,23,0,0,14,No,Rarely,Finance,MBA,Consultant,Single,137.0,7,0,2,55.0,3.9,3.9,0,2,1,16,1
EMP00039,26,93917.0,7.9,3,Yes,1,3,3.9,35,13,0,7,No,Never,Sales,Bachelor,Associate,Married,192.0,9,3,3,18.0,2.9,2.2,0,2,0,17,1
EMP00040,30,62012.0,2.2,1,Yes,2,1,2.6,28,20,1,6,No,Rarely,IT,MBA,Specialist,Married,187.0,8,2,0,51.0,2.4,4.3,0,3,4,4,1
EMP00041,55,31264.0,8.2,5,No,2,3,2.9,29,8,0,16,No,Never,Operations,Master,Specialist,Married,171.0,6,2,3,31.0,2.3,4.4,0,1,0,4,0
EMP00042,42,57618.0,3.1,3,No,5,5,3.0,17,6,0,16,No,Never,IT,Bachelor,Executive,Married,214.0,7,0,4,60.0,2.9,3.7,1,1,0,12,0
EMP00043,24,103225.0,4.5,3,Yes,4,3,3.7,31,9,1,15,Yes,Never,Operations,Bachelor,Executive,Single,162.0,7,1,1,16.0,3.0,3.3,2,1,3,17,0
EMP00044,38,111186.0,3.5,3,No,5,1,3.1,31,8,1,6,No,Never,Finance,PhD,Consultant,Single,168.0,6,1,3,55.0,3.1,3.8,0,0,2,4,0
EMP00045,31,91067.0,4.5,2,No,3,3,3.8,7,14,0,9,No,Never,Operations,Master,Manager,Single,169.0,7,4,5,49.0,3.9,2.6,0,5,2,20,0
EMP00046,47,64463.0,4.6,2,Yes,2,4,2.9,9,20,1,6,No,Frequent,Operations,Master,Analyst,Married,147.0,7,0,3,17.0,2.3,4.6,0,4,2,9,0
EMP00047,54,40291.0,5.1,3,Yes,4,5,4.4,35,5,1,9,No,Never,IT,Master,Associate,Single,159.0,2,2,2,25.0,2.6,3.9,2,5,0,20,0
EMP00048,21,103152.0,1.8,2,No,3,5,3.9,12,15,1,15,No,Rarely,Sales,PhD,Associate,Single,161.0,4,2,3,77.0,1.9,1.9,0,5,1,9,1
EMP00049,39,41330.0,2.1,1,Yes,4,1,4.3,33,17,0,7,No,Rarely,Finance,Master,Associate,Single,197.0,7,4,2,34.0,2.1,3.1,1,1,1,15,1
EMP00050,38,59911.0,1.5,2,No,3,2,4.1,6,5,0,18,No,Rarely,IT,Master,Analyst,Single,145.0,3,2,1,12.0,3.1,3.6,0,5,0,4,0
EMP00051,60,54541.0,1.8,1,No,3,5,3.2,40,16,1,6,No,Rarely,Operations,MBA,Analyst,Divorced,167.0,6,1,1,53.0,3.5,2.4,0,1,2,5,0
EMP00052,35,71415.0,3.7,3,Yes,5,2,2.7,16,15,0,8,No,Never,Finance,Bachelor,Analyst,Divorced,183.0,5,1,2,57.0,3.0,2.5,1,1,1,20,0
EMP00053,27,73618.0,4.9,3,No,2,1,3.6,2,2,2,5,No,Frequent,Finance,Master,Analyst,Married,177.0,2,4,6,50.0,4.1,3.4,0,0,2,9,1
EMP00054,28,163789.0,1.1,2,No,2,3,2.2,9,9,1,5,No,Rarely,Sales,MBA,Manager,Married,188.0,4,2,2,34.0,2.4,2.0,0,4,0,19,0
EMP00055,40,102675.0,10.1,5,No,2,5,2.7,28,12,0,10,Yes,Never,Marketing,Bachelor,Consultant,Single,206.0,11,1,6,10.0,3.5,3.8,1,2,0,12,0
EMP00056,44,58010.0,1.9,2,No,5,4,3.6,34,20,0,17,No,Rarely,Operations,Bachelor,Executive,Married,190.0,8,2,4,60.0,2.3,4.1,0,5,1,7,0
EMP00057,34,53856.0,2.3,1,No,2,1,2.0,33,6,0,7,No,Never,Sales,Bachelor,Specialist,Single,188.0,5,0,4,45.0,3.8,3.8,1,2,0,5,1
EMP00058,38,39070.0,7.3,4,Yes,5,2,3.0,1,0,0,5,No,Rarely,Finance,Master,Analyst,Single,167.0,11,2,2,79.0,3.5,3.8,0,2,0,19,0
EMP00059,47,78721.0,4.4,3,No,5,3,4.2,21,7,0,15,No,Rarely,Sales,Master,Executive,Married,177.0,10,2,4,38.0,1.5,4.0,0,3,0,6,0
EMP00060,32,31630.0,3.2,2,No,2,1,2.7,6,19,0,5,No,Rarely,Operations,Bachelor,Analyst,Single,217.0,6,2,2,38.0,2.9,2.7,2,1,0,3,1
EMP00061,59,34662.0,8.7,4,No,5,2,3.9,36,8,1,20,No,Frequent,Sales,Bachelor,Executive,Married,169.0,11,2,3,31.0,2.3,3.1,2,5,1,18,0
EMP00062,29,57335.0,7.7,5,Yes,1,2,3.0,25,9,1,6,No,Rarely,Operations,Bachelor,Associate,Single,172.0,3,3,6,10.0,2.9,3.7,0,5,1,18,0
EMP00063,58,64395.0,4.0,4,No,5,1,4.6,39,5,0,11,Yes,Rarely,Finance,PhD,Specialist,Married,170.0,6,0,4,22.0,2.3,3.0,0,4,1,15,1
EMP00064,55,51251.0,3.7,2,Yes,5,5,3.8,15,6,1,7,No,Frequent,Operations,Bachelor,Executive,Married,198.0,5,0,4,63.0,2.2,3.1,0,0,2,6,1
EMP00065,59,75454.0,5.4,3,No,3,3,2.7,1,14,0,8,No,Rarely,HR,Bachelor,Associate,Single,200.0,9,1,8,60.0,2.8,4.4,0,4,1,12,1
EMP00066,52,51204.0,6.1,3,No,1,2,2.5,38,13,1,14,No,Rarely,Operations,Bachelor,Executive,Married,189.0,4,0,5,39.0,3.2,3.6,0,2,3,5,0
EMP00067,42,99774.0,9.9,4,No,4,5,2.5,26,17,0,18,No,Frequent,Finance,PhD,Specialist,Single,166.0,9,0,2,38.0,2.4,3.3,0,5,0,9,0
EMP00068,45,70294.0,5.7,2,No,5,2,3.7,14,10,2,12,Yes,Rarely,Finance,MBA,Specialist,Married,169.0,7,2,2,37.0,2.8,3.0,0,1,2,4,0
EMP00069,29,51921.0,2.3,2,Yes,3,2,2.8,40,17,0,19,No,Never,Marketing,MBA,Analyst,Married,193.0,6,1,2,38.0,2.9,2.8,0,5,0,15,0
EMP00070,34,43076.0,1.6,1,No,1,2,3.6,25,13,0,9,Yes,Rarely,Finance,Bachelor,Executive,Single,162.0,5,4,1,69.0,2.0,3.4,1,2,3,10,1
EMP00071,39,113455.0,0.2,2,No,5,3,2.5,20,15,2,19,No,Never,HR,Master,Analyst,Single,172.0,7,1,1,76.0,4.6,4.7,1,4,0,8,0
EMP00072,58,50667.0,4.9,2,No,5,2,3.4,9,17,3,20,No,Rarely,Finance,Bachelor,Analyst,Married,157.0,3,1,3,75.0,1.8,4.5,1,5,2,12,1
EMP00073,52,34293.0,1.4,1,No,2,5,3.0,39,3,1,20,No,Rarely,Finance,MBA,Executive,Single,172.0,5,3,4,72.0,2.5,2.9,0,5,1,16,1
EMP00074,43,75572.0,1.0,1,No,5,5,3.1,15,3,1,11,No,Never,Marketing,MBA,Associate,Married,160.0,5,3,0,22.0,3.6,3.7,1,3,1,19,0
EMP00075,44,48498.0,3.4,1,No,1,2,4.3,27,2,0,12,No,Rarely,Sales,Bachelor,Consultant,Single,159.0,5,1,5,52.0,2.4,3.1,0,4,2,17,0
EMP00076,38,139316.0,7.6,4,No,1,5,3.3,22,20,1,9,No,Never,Operations,Bachelor,Consultant,Divorced,159.0,6,1,1,37.0,3.0,4.4,1,5,1,6,0
EMP00077,37,49685.0,15.0,5,No,5,2,3.9,38,18,0,17,No,Never,IT,PhD,Executive,Married,201.0,7,0,3,47.0,2.2,3.8,0,2,2,3,1
EMP00078,57,36917.0,1.8,2,Yes,2,1,2.6,5,2,0,7,No,Never,Marketing,MBA,Analyst,Single,183.0,3,3,3,38.0,3.6,3.7,1,5,0,19,1
EMP00079,21,34524.0,5.8,4,No,1,3,3.6,24,4,0,17,No,Rarely,HR,Bachelor,Consultant,Married,175.0,4,3,2,19.0,3.4,3.2,0,3,2,18,0
EMP00080,33,29508.0,0.3,1,No,3,5,4.2,20,13,0,5,No,Frequent,Finance,Bachelor,Associate,Married,171.0,5,1,3,40.0,3.6,2.9,0,3,2,3,1
EMP00081,37,77786.0,3.2,1,No,5,4,3.0,15,6,1,5,No,Rarely,Marketing,Bachelor,Consultant,Single,139.0,8,2,3,31.0,2.8,2.8,0,3,3,6,1
EMP00082,48,118011.0,5.5,4,No,1,1,2.6,25,16,0,11,Yes,Frequent,Sales,Bachelor,Associate,Single,186.0,6,1,4,33.0,2.4,3.6,0,4,1,20,0
EMP00083,37,65649.0,6.2,3,No,1,4,3.3,7,14,1,10,No,Rarely,Sales,PhD,Consultant,Single,199.0,12,1,4,75.0,3.2,3.6,0,2,1,12,0
EMP00084,33,54161.0,3.0,1,No,3,2,3.5,6,17,3,9,No,Never,IT,PhD,Executive,Married,192.0,5,1,0,72.0,1.8,3.7,1,2,1,19,0
EMP00085,24,40720.0,5.8,3,Yes,4,2,2.5,22,18,0,16,No,Rarely,Marketing,Bachelor,Manager,Married,171.0,9,0,2,73.0,3.7,3.1,0,3,0,17,0
EMP00086,31,79228.0,8.6,4,No,5,5,3.6,29,19,0,9,Yes,Rarely,IT,Master,Manager,Married,187.0,3,2,4,64.0,3.5,3.5,0,5,0,10,0
EMP00087,25,38194.0,5.5,4,No,2,4,2.2,10,7,0,16,No,Never,HR,MBA,Executive,Single,150.0,9,1,5,41.0,2.1,3.2,1,0,1,3,0
EMP00088,49,48731.0,2.4,3,Yes,4,4,2.8,20,20,0,19,No,Rarely,Operations,Master,Analyst,Married,186.0,5,2,1,16.0,3.2,3.9,1,1,2,14,0
EMP00089,38,53396.0,11.2,5,Yes,1,1,4.2,37,4,1,12,No,Never,Sales,Bachelor,Executive,Married,190.0,4,0,2,36.0,3.3,3.8,0,1,0,11,0
EMP00090,30,89345.0,8.4,4,No,4,3,2.5,27,2,1,11,No,Rarely,IT,Master,Associate,Married,144.0,5,1,7,52.0,3.0,4.3,0,5,1,8,1
EMP00091,42,78895.0,0.8,1,No,3,1,3.4,23,2,1,19,No,Frequent,IT,PhD,Analyst,Single,186.0,5,5,4,10.0,1.7,3.2,0,0,0,11,1
EMP00092,40,100292.0,1.4,1,No,4,5,3.8,1,7,0,9,No,Frequent,Operations,MBA,Specialist,Single,138.0,3,1,3,13.0,4.7,2.8,1,3,1,18,0
EMP00093,39,137623.0,9.6,5,No,1,4,4.0,19,16,0,12,No,Rarely,Sales,Bachelor,Specialist,Married,173.0,10,2,2,28.0,2.0,2.5,0,5,2,9,0
EMP00094,44,56803.0,7.2,3,No,3,3,2.8,29,17,0,15,No,Never,IT,Bachelor,Analyst,Married,202.0,5,4,3,47.0,3.2,2.9,0,1,1,17,0
EMP00095,46,122915.0,7.6,5,Yes,3,1,4.0,19,16,1,6,Yes,Never,IT,Bachelor,Executive,Single,188.0,5,4,1,59.0,4.2,2.1,0,0,0,3,1
EMP00096,28,106097.0,3.4,3,No,2,2,3.3,20,1,3,6,No,Rarely,Operations,Bachelor,Analyst,Single,168.0,9,3,4,40.0,3.4,2.6,2,0,0,16,0
EMP00097,27,66404.0,2.9,1,Yes,5,1,3.5,8,13,0,13,No,Frequent,Finance,Master,Specialist,Single,150.0,5,2,2,46.0,3.7,3.5,0,2,0,8,1
EMP00098,50,101904.0,4.8,2,Yes,4,3,3.8,6,3,2,11,No,Rarely,Sales,Master,Specialist,Single,150.0,7,0,1,27.0,2.5,3.0,0,2,0,3,0
EMP00099,59,88326.0,4.7,2,No,2,1,3.9,40,6,0,10,No,Rarely,HR,MBA,Executive,Married,168.0,8,2,1,75.0,3.6,4.4,0,2,1,18,1
EMP00100,42,111671.0,7.2,3,No,1,4,2.6,14,14,0,6,Yes,Rarely,Operations,Master,Analyst,Single,199.0,6,1,3,31.0,3.2,3.2,0,3,0,19,1
EMP00101,39,24535.0,8.5,3,No,5,4,2.8,27,3,0,18,No,Rarely,Sales,Bachelor,Manager,Divorced,176.0,7,0,4,27.0,3.8,3.4,0,2,2,4,0
EMP00102,45,43426.0,2.1,2,No,2,1,3.0,19,2,2,19,No,Rarely,IT,Bachelor,Associate,Married,181.0,5,2,3,41.0,4.1,3.6,0,0,2,10,1
EMP00103,22,37838.0,2.8,2,No,4,1,2.9,29,17,1,11,No,Never,Finance,Master,Associate,Single,228.0,4,1,3,18.0,2.6,3.1,2,3,3,3,0
EMP00104,35,67043.0,4.4,2,No,3,3,3.3,28,13,1,8,No,Rarely,Operations,Bachelor,Analyst,Single,145.0,5,2,3,36.0,2.5,3.2,0,0,2,10,1
EMP00105,35,66288.0,14.6,5,No,4,2,3.6,30,20,1,19,No,Frequent,IT,Master,Associate,Divorced,178.0,5,1,1,10.0,2.1,3.8,0,1,2,10,0
EMP00106,37,38432.0,5.0,3,No,2,4,5.0,11,7,0,6,No,Rarely,IT,Bachelor,Executive,Single,173.0,6,1,3,54.0,4.1,4.4,0,4,2,5,0
EMP00107,50,47294.0,4.8,4,Yes,2,3,3.4,18,18,0,20,No,Never,Sales,MBA,Analyst,Married,223.0,5,1,4,31.0,3.2,2.8,1,0,3,12,1
EMP00108,40,63366.0,7.2,3,Yes,5,2,3.3,12,20,0,12,Yes,Rarely,Sales,MBA,Consultant,Married,202.0,7,4,1,83.0,2.8,3.6,0,4,1,13,1
EMP00109,55,56840.0,4.6,2,No,4,4,2.7,25,2,1,9,No,Frequent,IT,Master,Specialist,Single,164.0,5,2,2,10.0,2.1,4.4,2,0,0,20,1
EMP00110,39,60185.0,13.3,5,Yes,5,3,3.5,16,5,0,20,No,Rarely,Finance,Bachelor,Analyst,Single,177.0,5,1,2,57.0,3.3,2.3,1,1,1,18,1
EMP00111,22,51879.0,5.0,2,No,3,5,2.2,16,19,0,9,No,Rarely,HR,Master,Analyst,Married,190.0,4,1,2,40.0,5.0,3.2,0,1,1,7,0
EMP00112,48,39001.0,1.4,1,Yes,5,5,3.6,33,3,0,10,No,Rarely,IT,Master,Associate,Single,203.0,7,2,4,55.0,3.1,3.4,0,2,1,9,0
EMP00113,52,74685.0,3.9,3,Yes,4,2,3.5,40,12,1,15,No,Never,IT,Bachelor,Consultant,Divorced,149.0,10,0,4,48.0,2.5,4.4,0,1,0,5,0
EMP00114,44,37262.0,1.9,2,No,1,2,4.4,40,2,1,5,Yes,Frequent,Finance,Master,Specialist,Married,157.0,3,2,3,37.0,3.2,2.9,0,3,2,11,1
EMP00115,58,79696.0,5.3,2,No,4,3,2.6,13,20,0,6,No,Rarely,Sales,Master,Executive,Single,156.0,5,1,3,41.0,4.4,3.2,0,3,0,16,0
EMP00116,37,65001.0,7.1,2,No,2,5,4.0,31,0,0,18,No,Rarely,Operations,Master,Analyst,Divorced,200.0,3,6,0,29.0,2.8,4.9,1,3,1,5,0
EMP00117,52,83738.0,9.2,5,Yes,2,4,3.5,34,13,3,14,No,Never,IT,Bachelor,Consultant,Married,160.0,12,3,3,55.0,2.9,3.3,0,5,1,19,0
EMP00118,21,82557.0,15.0,5,No,5,4,3.4,7,1,1,14,No,Rarely,Marketing,Bachelor,Specialist,Married,181.0,5,1,2,51.0,2.3,2.7,0,0,1,9,1
EMP00119,22,35000.0,1.3,2,Yes,2,5,3.6,24,19,0,5,No,Rarely,Marketing,Bachelor,Consultant,Single,190.0,3,1,3,72.0,4.0,3.5,0,1,2,15,0
EMP00120,52,38691.0,7.9,4,No,3,1,3.4,36,13,0,13,No,Rarely,Operations,Bachelor,Specialist,Single,148.0,6,1,2,44.0,3.6,2.5,0,2,2,9,0
EMP00121,55,25201.0,3.1,2,No,5,5,2.6,9,1,0,14,No,Rarely,IT,Master,Consultant,Single,213.0,6,3,2,64.0,3.9,2.8,1,3,3,20,1
EMP00122,41,35296.0,4.1,3,No,3,5,3.1,23,0,0,7,Yes,Never,Finance,Bachelor,Specialist,Married,165.0,8,0,2,54.0,4.4,2.7,0,3,1,18,1
EMP00123,51,40148.0,2.1,1,No,5,4,2.4,2,11,0,9,No,Rarely,Operations,Master,Specialist,Married,172.0,6,2,6,34.0,3.3,4.1,2,2,0,4,0
EMP00124,34,80510.0,1.1,2,No,2,2,4.2,6,14,0,8,Yes,Rarely,Finance,Bachelor,Analyst,Married,205.0,5,0,1,51.0,2.2,3.3,0,1,0,18,0
EMP00125,50,71836.0,0.3,1,No,4,1,3.6,7,15,1,11,No,Rarely,IT,Master,Analyst,Married,189.0,4,4,5,74.0,2.6,4.2,1,1,1,5,0
EMP00126,40,31609.0,3.3,1,No,5,1,4.0,6,6,0,16,No,Frequent,Sales,Bachelor,Consultant,Single,181.0,11,4,3,43.0,3.8,3.9,0,5,1,10,0
EMP00127,33,77390.0,3.9,2,No,5,5,3.9,25,7,0,13,No,Rarely,Finance,PhD,Executive,Married,178.0,5,2,5,59.0,4.2,4.2,0,0,0,5,1
EMP00128,24,47775.0,4.8,3,No,1,5,3.7,29,7,0,16,No,Never,Finance,Bachelor,Executive,Single,186.0,6,3,1,71.0,3.5,2.8,1,3,2,11,0
EMP00129,27,63581.0,1.4,1,Yes,1,5,4.8,11,0,0,13,No,Rarely,HR,MBA,Executive,Married,164.0,7,0,4,13.0,2.5,3.0,0,4,1,13,1
EMP00130,57,60327.0,9.4,4,No,1,5,4.3,8,13,0,14,No,Never,HR,Bachelor,Specialist,Single,230.0,4,4,4,34.0,3.6,4.0,1,1,2,20,0
EMP00131,38,53790.0,2.3,3,Yes,2,3,3.3,4,17,2,12,Yes,Rarely,Sales,Bachelor,Associate,Married,180.0,5,2,6,48.0,3.3,3.5,0,2,1,20,1
EMP00132,60,91017.0,0.2,1,Yes,5,2,3.6,11,5,0,14,No,Never,Sales,Bachelor,Executive,Married,143.0,6,3,5,70.0,2.4,2.7,0,1,1,14,1
EMP00133,35,35136.0,5.5,2,No,1,1,2.0,37,7,1,14,No,Never,Finance,Bachelor,Analyst,Single,212.0,6,1,4,74.0,3.5,3.2,1,2,2,6,1
EMP00134,23,73039.0,9.0,5,No,2,2,3.3,40,20,0,13,No,Frequent,HR,Bachelor,Associate,Single,160.0,10,0,3,54.0,3.6,4.2,2,1,0,18,1
EMP00135,31,96933.0,3.5,2,No,3,3,3.6,35,10,1,10,No,Rarely,Operations,Master,Associate,Single,120.0,9,5,2,10.0,4.1,2.9,0,5,1,6,1
EMP00136,35,52020.0,2.7,1,No,4,2,2.6,4,6,1,19,No,Rarely,HR,Bachelor,Specialist,Divorced,210.0,8,1,1,64.0,3.9,3.0,0,3,2,5,0
EMP00137,49,47822.0,11.9,4,No,3,1,2.3,16,10,1,17,No,Rarely,IT,MBA,Specialist,Single,166.0,8,0,3,81.0,3.0,3.0,0,4,1,5,1
EMP00138,50,42253.0,3.9,3,No,1,4,4.0,18,2,2,12,No,Frequent,Marketing,Bachelor,Associate,Divorced,138.0,6,0,5,45.0,3.0,3.2,1,2,4,5,0
EMP00139,50,64370.0,3.4,2,No,4,3,2.8,12,7,0,19,No,Frequent,Finance,PhD,Executive,Single,189.0,10,2,4,62.0,3.0,3.5,0,0,0,15,0
EMP00140,33,67288.0,8.7,4,No,1,4,3.1,26,8,2,15,No,Rarely,IT,MBA,Executive,Married,176.0,7,3,6,55.0,3.8,3.4,1,2,0,7,0
EMP00141,36,66291.0,1.7,1,No,1,5,3.2,19,13,0,14,No,Rarely,Sales,Bachelor,Executive,Single,162.0,4,2,1,64.0,1.4,4.3,0,4,1,18,1
EMP00142,43,27032.0,4.4,1,No,1,3,4.3,4,17,0,20,No,Rarely,Marketing,Bachelor,Analyst,Single,190.0,7,2,4,57.0,4.3,3.2,0,3,0,18,0
EMP00143,45,106611.0,2.1,1,No,5,3,3.3,36,7,0,7,No,Rarely,IT,Master,Analyst,Single,175.0,7,0,3,42.0,4.6,2.8,0,0,0,19,0
EMP00144,37,81506.0,0.6,1,Yes,1,1,2.8,27,9,2,20,No,Frequent,IT,Bachelor,Manager,Married,178.0,4,4,1,43.0,2.6,3.1,0,4,1,3,1
EMP00145,28,55885.0,4.0,3,Yes,2,1,1.9,20,15,0,17,No,Frequent,IT,Bachelor,Associate,Single,167.0,8,1,2,36.0,2.5,2.6,1,2,2,13,1
