transaction_id,age,income,transaction_amount,account_age_days,transactions_24h,failed_attempts_24h,merchant_risk_score,distance_from_home_km,device_trust_score,is_international,is_new_device,transaction_hour,merchant_category,payment_method,is_fraud
36,21.0,106227.43,250.72,3595,2,0,0.2896,12.31,0.7331,0,0,6,travel,card,0
37,,58183.62,97.57,2413,8,1,0.0898,13.16,0.8837,0,1,5,electronics,wallet,0
38,65.0,21249.73,113.82,1964,5,0,0.187,1.42,0.8508,0,1,0,food,card,0
39,33.0,53468.6,239.28,3719,6,0,0.0779,8.67,0.8914,0,0,21,electronics,wallet,0
40,54.0,64199.58,48.47,649,1,0,0.1617,6.19,0.7596,0,0,19,food,upi,0
41,27.0,93913.02,679.08,1870,4,1,0.0772,32.08,0.7138,1,0,15,fashion,card,1
42,61.0,45682.77,985.52,1056,6,1,0.2162,3.78,0.8001,0,0,8,electronics,card,1
43,57.0,86721.27,142.17,749,4,0,0.207,23.57,0.8622,1,0,14,fashion,card,0
44,38.0,60962.64,257.0,3774,4,0,0.1332,2.96,0.8483,1,1,20,jewelry,upi,1
45,21.0,26683.71,589.2,2432,2,0,0.2129,0.84,0.855,1,0,17,food,wallet,0
46,73.0,25254.17,1272.22,669,4,0,0.0624,16.05,0.9113,0,0,10,fashion,upi,0
47,43.0,101976.37,854.01,456,3,2,0.1134,4.48,0.8395,0,0,16,food,upi,0
48,68.0,106178.8,31.73,1268,3,0,0.2239,3.86,0.7072,0,0,6,gaming,card,0
49,56.0,65689.12,131.29,3339,3,0,0.1345,11.88,0.7677,0,1,23,electronics,card,0
50,,125207.44,296.97,607,3,0,0.2255,2.3,0.8575,1,0,15,electronics,upi,0
51,61.0,98343.71,109.81,2974,3,0,0.3989,3.73,0.9122,0,0,6,electronics,upi,0
52,29.0,80104.26,1070.33,449,3,1,0.155,15.4,0.9703,0,0,14,food,card,0
53,38.0,33318.47,918.12,1367,5,2,0.0555,11.7,0.7655,0,0,5,food,upi,0
54,44.0,142539.48,79.6,2102,3,1,0.0778,4.56,0.8591,0,0,5,food,card,0
55,46.0,73869.42,153.02,542,3,1,0.178,5.69,0.8595,1,0,6,grocery,upi,0
56,,44483.66,85.06,1604,3,1,0.1681,34.3,0.6836,0,0,7,grocery,upi,0
57,49.0,38083.64,148.09,1093,2,0,0.1427,8.84,0.9776,0,0,8,fashion,card,0
58,26.0,63342.99,143.67,213,3,0,0.0347,19.63,0.8331,0,1,23,jewelry,card,0
59,60.0,21938.67,467.41,33,5,0,0.0405,0.52,0.8972,0,0,4,food,upi,0
60,56.0,80814.26,74.03,606,1,0,0.2982,4.65,0.8847,0,0,23,grocery,card,0
61,70.0,32552.99,13.15,3001,4,0,0.1376,6.71,0.8059,0,0,20,grocery,wallet,0
62,60.0,67435.23,36.18,179,2,1,0.0403,16.39,0.9675,1,0,8,electronics,upi,0
63,38.0,41282.64,64.37,2037,4,0,0.0771,5.67,0.5618,0,1,20,electronics,upi,0
64,73.0,47555.76,93.43,127,3,0,0.2145,11.05,0.5969,0,0,10,jewelry,upi,0
65,41.0,36271.52,217.05,886,4,0,0.0638,1.31,0.8997,0,0,16,grocery,net_banking,0
66,36.0,50332.8,61.14,738,1,0,0.1609,34.04,0.874,0,0,21,electronics,net_banking,0
67,69.0,155476.09,53.62,1379,5,0,0.0877,14.7,0.8066,0,0,20,electronics,upi,0
68,39.0,117815.05,71.06,2982,7,1,0.258,14.88,0.6963,0,0,17,grocery,card,0
69,22.0,66839.66,58.99,1701,8,2,0.0998,2.5,0.9634,0,0,17,gaming,card,0
70,44.0,54240.15,103.39,88,9,0,0.4209,32.48,0.7325,0,0,0,,card,1
71,63.0,87500.44,99.05,604,11,0,0.2398,36.39,0.7207,0,0,3,grocery,card,0
72,28.0,102392.85,358.53,1238,3,0,0.2327,0.27,0.536,0,0,4,gaming,upi,0
73,44.0,34845.82,66.92,1135,6,0,0.1855,2.28,0.5997,0,0,5,food,card,0
74,25.0,52706.66,125.88,2272,5,1,0.1291,14.22,0.826,0,0,16,grocery,upi,0
75,57.0,20191.39,104.37,1422,3,0,0.4792,0.05,0.5108,0,0,23,grocery,upi,0
76,45.0,102006.79,404.17,2982,1,0,0.0579,5.8,0.9296,0,1,4,electronics,card,0
77,36.0,171245.21,154.27,1032,6,0,0.1666,5.68,0.706,1,0,2,gaming,wallet,0
78,30.0,57476.64,514.74,2721,5,0,0.0463,27.13,0.7276,0,1,2,grocery,,1
79,50.0,17091.44,56.86,429,4,0,0.1344,4.32,0.917,0,0,22,travel,net_banking,0
80,56.0,76878.25,171.33,3954,4,0,0.0456,17.5,0.7776,0,0,3,travel,card,0
81,71.0,33451.08,101.2,3947,6,0,0.0638,7.48,0.887,0,0,9,travel,net_banking,0
82,42.0,38186.84,52.82,1124,4,0,0.113,14.25,0.937,0,0,17,gaming,,0
83,27.0,77629.71,168.25,959,4,0,0.1931,1.9,0.6238,0,0,3,fashion,upi,0
84,65.0,63265.36,1018.29,30,5,0,0.1719,21.39,0.8679,0,0,1,food,card,0
85,53.0,42050.59,76.71,3904,3,0,0.2263,6.07,0.9888,0,0,20,fashion,upi,0
86,,38476.59,158.46,181,7,0,0.3266,8.24,0.955,0,0,5,electronics,net_banking,0
87,23.0,58941.36,48.46,38,2,0,0.348,0.28,0.8672,0,0,13,electronics,upi,0
88,35.0,43909.34,41.83,417,4,1,0.052,2.74,0.7106,0,0,1,grocery,card,0
89,61.0,29881.89,81.92,1200,7,0,0.2205,1.13,0.6973,0,1,10,fashion,card,1
90,65.0,45806.38,114.78,3901,8,0,0.0647,0.22,0.8458,0,0,16,gaming,upi,0
91,42.0,66294.65,119.99,691,6,0,0.101,5.47,0.897,0,0,19,grocery,wallet,0
92,63.0,49867.84,143.59,2293,3,2,0.2427,7.38,0.8788,0,0,14,food,card,0
93,65.0,25277.22,34.63,2612,3,0,0.0505,4.18,0.8617,0,0,11,gaming,card,0
94,40.0,94757.28,96.26,3203,8,0,0.0914,0.52,0.8643,0,0,21,electronics,wallet,0
95,69.0,15000.0,297.29,2806,5,0,0.08,0.93,0.9249,0,0,17,fashion,upi,0
96,34.0,43027.19,46.28,3940,5,0,0.079,2.53,0.7604,0,0,10,,upi,0
4511,35.0,53009.91,1911.37,2490,5,0,0.1107,10.3,0.855,0,1,7,food,card,1
98,56.0,59670.13,241.24,3381,6,1,0.333,0.15,0.8834,0,0,12,jewelry,net_banking,0
99,54.0,74906.99,82.33,1299,2,0,0.1849,3.5,0.8646,0,0,11,food,card,0
100,25.0,102212.48,253.28,1648,2,0,0.2344,5.8,0.8334,0,0,4,grocery,card,0
101,65.0,37170.32,39.32,2956,2,0,0.36,10.75,0.7941,0,1,4,food,card,0
102,29.0,75940.75,437.64,3507,5,1,0.0687,0.94,0.9575,0,0,8,gaming,card,0
103,63.0,61254.25,259.5,50,3,0,0.3075,1.11,0.8543,0,0,8,gaming,upi,0
104,18.0,21455.62,190.3,1751,7,0,0.3344,0.59,0.8049,0,0,12,travel,net_banking,0
105,63.0,156433.39,554.34,3215,8,0,0.2035,0.89,0.6514,0,0,22,electronics,card,1
106,62.0,24928.38,129.49,482,2,0,0.0982,2.72,0.8984,0,1,15,electronics,upi,0
107,,,97.04,1430,3,0,0.267,19.44,0.8778,0,0,22,food,card,0
108,55.0,68156.82,710.17,2206,7,0,0.0974,4.14,0.7633,0,1,7,travel,card,0
109,44.0,64003.22,1134.25,358,1,0,0.2314,12.82,,0,1,18,food,upi,0
110,58.0,41901.26,89.97,3665,6,1,0.1018,11.2,0.5912,0,0,2,gaming,card,0
111,33.0,86688.58,160.65,1489,2,0,0.2162,1.99,0.7671,0,0,8,food,card,0
112,62.0,23315.8,511.83,3144,2,1,0.305,3.52,0.9742,0,0,16,jewelry,card,0
113,,53044.3,166.47,1726,3,0,0.0994,0.43,0.8371,0,0,10,electronics,net_banking,0
114,44.0,40334.3,326.21,1625,3,0,0.0732,16.85,0.7025,0,0,3,electronics,wallet,0
115,46.0,37895.01,392.82,3864,5,0,0.0714,8.99,0.6909,1,0,0,fashion,,0
116,50.0,69626.45,102.58,3423,6,0,0.0378,9.66,0.8401,0,0,18,jewelry,card,0
117,20.0,99478.98,273.75,2077,4,1,0.2102,6.03,0.9296,0,1,10,food,upi,0
118,25.0,45537.79,178.89,1872,4,1,0.1662,1.7,0.9001,0,0,3,,upi,0
119,31.0,84496.3,53.31,3129,5,0,0.1053,6.43,0.7199,0,0,3,gaming,card,0
120,24.0,56525.43,66.91,2747,4,0,0.2054,4.17,0.8081,0,0,1,fashion,card,0
121,43.0,33660.68,93.74,3917,5,1,0.247,7.82,0.9306,1,1,14,jewelry,card,1
122,56.0,47725.2,455.54,1352,7,2,0.0878,3.32,0.8724,0,0,6,electronics,upi,1
123,55.0,46647.34,470.74,477,4,0,0.0061,6.85,0.8695,1,0,13,gaming,card,0
124,44.0,37493.6,381.03,803,3,0,0.1221,1.74,0.9645,0,0,9,electronics,card,0
125,66.0,69616.3,279.52,2124,1,0,0.1879,2.36,0.7232,0,0,9,grocery,net_banking,0
126,50.0,62576.42,271.99,1274,6,0,0.1447,0.19,0.8445,0,1,17,grocery,card,1
127,22.0,22930.68,237.58,3242,1,0,0.1748,1.75,0.7454,0,1,22,electronics,upi,0
128,61.0,22175.63,270.58,3504,3,1,0.0858,4.3,0.7695,0,0,23,travel,card,0
129,50.0,69471.02,289.55,771,5,0,0.234,10.5,0.9091,0,1,11,food,upi,0
130,54.0,35125.44,44.19,3959,2,0,0.2201,10.02,0.9065,0,0,7,travel,wallet,0
131,50.0,64939.48,81.67,2535,4,0,0.1235,0.82,0.6843,0,0,11,fashion,wallet,0
132,49.0,84507.94,64.33,1077,3,1,0.0045,6.3,0.8475,0,0,8,,upi,0
133,23.0,27338.86,544.63,828,1,0,0.2551,0.0,0.9375,0,0,22,,upi,0
134,49.0,,941.11,686,4,0,0.1886,6.3,0.8319,0,1,18,grocery,card,1
135,63.0,138140.41,20.57,1900,3,0,0.0158,18.21,0.9525,0,0,13,food,,0
136,35.0,66732.84,860.72,312,0,1,0.0981,2.33,0.9718,1,0,10,grocery,card,0
137,52.0,43673.91,196.31,550,1,0,0.172,6.42,0.8712,1,0,21,grocery,card,0
138,19.0,32906.36,495.55,3022,2,0,0.0816,10.3,0.7256,0,1,5,jewelry,card,0
139,37.0,,298.7,1970,3,0,0.4201,1.92,0.8012,0,0,21,fashion,upi,0
140,42.0,,760.03,2126,2,0,0.1921,10.57,0.594,0,0,23,grocery,upi,0
141,74.0,89407.97,222.0,1318,5,0,0.3988,5.79,0.6424,0,0,13,gaming,card,0
142,30.0,35877.85,46.04,2237,0,0,0.2779,8.57,0.7335,0,0,13,gaming,upi,0
143,33.0,100361.35,161.95,1391,4,0,0.5116,4.69,0.6002,0,0,21,electronics,card,0
144,,44123.27,301.45,209,8,0,0.0305,13.04,0.9583,0,0,9,food,card,0
145,74.0,30984.61,145.04,2285,2,0,0.123,0.04,0.8026,0,0,20,grocery,upi,0
146,66.0,43504.63,347.47,351,7,0,0.283,4.58,0.78,0,0,14,fashion,card,0
147,19.0,15000.0,168.55,2764,4,0,0.1259,8.46,0.8524,0,0,0,fashion,upi,0
148,31.0,51465.44,99.23,3661,3,0,0.2693,2.41,0.6963,0,0,6,grocery,upi,0
149,64.0,,60.76,2679,1,0,0.0759,4.9,0.8162,0,0,22,gaming,card,0
150,21.0,86568.99,121.65,2319,1,0,0.0373,4.26,0.7046,0,0,8,gaming,card,0
151,66.0,19489.3,220.86,3858,10,0,0.4375,22.4,0.8497,0,0,15,travel,upi,1
152,34.0,104204.96,25.37,900,4,0,0.1109,20.91,0.837,0,1,22,electronics,upi,0
153,70.0,86371.94,82.51,3102,1,1,0.1388,6.23,0.6521,0,0,8,travel,upi,0
154,34.0,109503.57,24.44,853,6,0,0.0744,0.55,0.8623,0,1,22,,card,0
155,42.0,53428.08,97.11,31,4,0,0.1411,1.98,0.8813,0,0,7,grocery,card,0
156,55.0,96060.33,596.02,986,2,0,0.415,7.86,0.8473,0,0,9,food,upi,0
157,25.0,,54.97,2024,4,1,0.1083,0.47,0.9232,0,1,16,gaming,upi,0
158,49.0,81410.91,363.62,283,4,1,0.3732,1.35,0.5006,1,1,0,grocery,net_banking,1
159,46.0,35988.29,3108.15,1136,6,1,0.1641,3.96,0.6942,0,0,1,travel,upi,1
160,62.0,22177.14,770.08,227,3,0,0.3994,9.25,0.9565,0,0,12,food,wallet,0
161,74.0,29637.96,205.71,996,5,0,0.1436,0.66,0.9226,0,0,14,electronics,card,0
162,55.0,,424.7,2888,6,0,0.4401,17.34,0.7228,0,0,11,food,card,0
163,41.0,34951.75,45.75,634,2,1,0.1125,10.96,0.5206,0,0,15,gaming,card,0
164,41.0,67638.25,37.32,1077,6,0,0.2274,0.14,0.7574,0,0,4,grocery,card,0
165,41.0,20344.34,185.24,568,6,1,0.1645,4.77,0.8832,0,0,19,fashion,card,0
166,64.0,17071.83,268.16,1556,2,0,0.1566,1.32,0.9193,0,0,9,grocery,upi,0
167,36.0,116996.76,537.73,3051,3,0,0.2192,1.63,0.9306,0,0,20,grocery,wallet,0
5671,38.0,26992.9,86.95,1430,4,0,0.2799,5.09,0.9261,0,0,13,gaming,upi,0
169,37.0,30883.43,218.41,824,3,0,0.2517,6.48,0.9979,0,0,20,fashion,,0
170,19.0,54909.34,211.04,1300,6,0,0.3682,3.11,0.7156,1,0,21,gaming,card,0
171,24.0,96357.2,157.84,2690,3,0,0.6281,0.43,0.88,0,0,11,food,card,0
172,23.0,69261.8,167.42,1930,9,0,0.1963,8.16,0.8815,1,0,7,electronics,card,0
173,61.0,59671.58,76.57,1855,6,0,0.0758,11.36,0.9693,1,0,0,grocery,wallet,0
174,59.0,100450.79,238.09,3464,3,2,0.3382,4.59,0.9408,1,0,7,electronics,card,1
175,57.0,,218.77,3282,3,1,0.155,1.46,0.9078,0,0,22,food,card,1
176,44.0,55951.28,115.93,999,4,1,0.0413,4.53,0.9102,0,0,19,travel,wallet,0
177,58.0,54462.72,350.28,2825,7,0,0.1651,23.99,0.7676,0,0,22,grocery,card,0
178,27.0,47338.03,503.1,3171,2,0,0.2366,13.51,0.8698,0,1,11,food,card,0
179,69.0,44386.71,354.37,3602,5,1,0.3083,3.42,0.9241,0,0,13,fashion,upi,0
180,46.0,57249.03,63.47,1077,2,0,0.2698,1.3,0.6608,0,0,10,electronics,card,0
181,71.0,56050.74,198.86,2920,4,0,0.02,7.68,0.9311,0,0,11,travel,card,0
182,26.0,30898.2,72.35,772,7,3,0.1834,22.4,0.9707,0,0,7,grocery,net_banking,1
183,46.0,85483.29,198.25,1794,6,0,0.1492,6.76,0.844,1,1,21,travel,wallet,0
184,57.0,32147.07,72.63,318,5,0,0.3137,11.75,0.9249,0,0,14,fashion,card,0
185,46.0,48779.24,645.56,2427,5,1,0.0501,8.12,0.9271,0,0,19,fashion,card,0
186,43.0,46755.36,393.98,2746,3,0,0.1241,1.16,0.97,0,0,6,grocery,net_banking,0
187,27.0,66973.04,570.18,1803,3,0,0.4125,21.95,0.7913,0,0,21,electronics,net_banking,0
188,39.0,17147.05,515.26,1664,3,0,0.327,15.49,0.8218,0,0,4,travel,upi,0
189,31.0,89777.43,137.33,990,1,0,0.0951,10.67,0.904,0,0,16,travel,card,0
190,35.0,37901.42,117.61,3088,5,0,0.1978,4.96,0.9567,0,0,0,grocery,upi,0
191,56.0,107588.42,1027.29,3644,7,0,0.5041,3.0,0.866,1,0,21,grocery,card,1
192,53.0,42281.2,152.6,556,3,0,0.2895,16.47,0.6304,0,1,11,grocery,upi,0
193,52.0,53542.15,46.45,1125,6,1,0.183,1.01,0.9726,0,0,5,fashion,,0
194,38.0,157577.2,492.96,2425,3,1,0.1374,2.6,0.7737,1,0,19,fashion,upi,1
195,72.0,47219.04,207.83,1482,4,0,0.4665,0.3,0.8689,0,1,20,food,,1
196,22.0,108711.83,811.51,81,8,0,0.2972,12.36,0.9276,1,0,21,food,card,1
197,37.0,56193.89,229.51,112,3,0,0.3736,11.88,0.7623,0,0,9,grocery,upi,0
198,24.0,69117.89,176.44,958,7,0,0.1114,9.87,,0,0,3,food,card,0
199,37.0,57157.49,828.05,3871,3,0,0.1898,8.39,0.7553,0,0,11,grocery,wallet,0
200,72.0,87676.3,38.65,2450,5,0,0.0922,5.07,0.7575,1,0,17,jewelry,card,0
201,38.0,37723.79,100.24,1043,6,0,0.1331,10.6,0.8061,0,0,9,jewelry,card,0
202,69.0,32011.86,74.11,252,8,0,0.246,6.74,0.7775,0,1,9,gaming,upi,1
203,46.0,38710.71,20.04,3032,7,1,0.193,1.37,0.9121,0,0,23,food,upi,0
204,57.0,58100.48,431.01,1527,6,1,0.485,33.44,,0,1,22,jewelry,upi,1
205,44.0,,103.08,1592,3,1,0.6081,5.22,0.8427,0,0,10,grocery,card,1
206,33.0,81286.86,445.11,2259,5,0,0.121,16.92,0.7991,0,0,4,grocery,card,0
207,61.0,112723.24,265.61,936,6,0,0.2424,0.97,0.8,0,0,4,travel,wallet,0
208,73.0,32156.74,330.33,2918,4,0,0.0307,7.08,0.8856,1,0,7,food,card,0
209,33.0,36732.48,114.16,1275,1,0,0.0712,9.71,0.7878,0,0,13,travel,net_banking,0
210,62.0,24963.17,83.82,2831,3,0,0.0644,11.69,0.728,0,0,21,fashion,net_banking,0
211,32.0,168012.49,196.9,2083,4,0,0.0351,5.46,0.8908,0,0,4,jewelry,card,0
212,58.0,65033.43,451.3,618,3,0,0.1461,3.71,0.8516,0,0,16,food,card,0
213,62.0,71609.26,171.16,2504,7,0,0.1045,11.92,0.9508,0,0,13,food,card,1
214,43.0,26317.09,89.21,328,3,0,0.0266,15.93,0.7347,0,0,2,grocery,wallet,0
215,60.0,54964.62,54.27,2868,5,0,0.0988,0.54,0.8216,0,0,23,food,upi,0
216,33.0,72778.43,220.77,1524,4,0,0.4877,15.78,0.7554,0,0,17,electronics,net_banking,0
217,22.0,47861.74,103.43,2691,2,0,0.2723,10.72,0.8153,0,0,17,food,card,0
218,23.0,99382.03,167.54,985,2,0,0.214,1.52,0.9189,0,0,13,electronics,upi,0
219,43.0,196142.28,141.77,1646,2,0,0.2384,2.36,0.8522,0,0,6,electronics,wallet,0
220,69.0,32669.72,115.41,1243,3,0,0.2306,2.84,0.9209,0,0,4,fashion,wallet,0
221,25.0,31349.09,241.47,1026,4,0,0.1809,6.54,0.8598,0,0,23,travel,card,0
222,43.0,33939.09,313.39,1389,4,1,0.0701,8.86,0.8816,0,1,1,food,net_banking,0
223,,133052.36,1284.64,243,5,1,0.0582,0.79,0.805,0,0,22,grocery,card,0
224,29.0,97575.71,384.11,1606,2,1,0.3488,8.87,0.906,0,1,20,grocery,card,1
225,59.0,51049.35,885.93,518,2,0,0.1063,15.62,0.9338,0,1,13,fashion,upi,0
226,35.0,56117.12,79.39,2088,4,0,0.3078,9.67,0.7676,1,0,12,travel,upi,0
227,64.0,35101.16,36.31,389,3,0,0.2847,4.84,0.8652,0,0,13,electronics,upi,0
228,51.0,,177.42,66,2,0,0.1101,0.01,0.7639,0,1,13,food,card,0
229,49.0,44629.15,424.53,1773,2,0,0.2561,12.03,0.4666,0,0,23,food,card,0
230,28.0,47669.47,362.9,1213,6,2,0.1677,7.93,0.8042,0,0,18,food,card,0
231,44.0,76873.99,604.46,3511,3,0,0.2136,14.34,0.8279,1,0,15,grocery,card,0
232,66.0,49597.28,14.25,1079,5,0,0.0296,10.81,0.8733,0,0,23,travel,card,0
233,,48332.39,630.13,1615,4,0,0.125,7.22,0.8618,0,1,9,fashion,,0
234,61.0,55320.83,251.75,967,6,0,0.1432,12.7,0.4973,1,0,18,travel,card,0
235,46.0,85181.02,38.43,3561,4,0,0.2554,20.28,0.847,1,0,21,travel,card,0
236,59.0,136033.94,371.11,3160,2,0,0.1417,10.95,0.8368,0,0,3,grocery,wallet,0
237,55.0,75894.99,213.24,712,1,0,0.1258,4.28,0.7316,0,0,14,jewelry,wallet,0
238,42.0,85554.71,263.53,1027,2,0,0.1142,39.16,0.9144,1,0,22,gaming,net_banking,0
239,35.0,49274.83,488.86,770,4,2,0.1847,14.04,0.8954,1,0,0,fashion,card,0
240,53.0,37264.62,276.78,629,5,0,0.2151,1.32,0.8935,1,1,12,food,wallet,1
241,25.0,78808.87,41.27,985,2,1,0.1816,3.37,0.778,0,0,17,grocery,card,0
242,51.0,60431.81,156.01,3411,4,0,0.0751,8.78,0.8661,0,0,19,grocery,card,0
243,23.0,25150.74,35.71,1851,6,1,0.0497,7.95,0.7974,0,0,20,food,net_banking,0
244,,45919.73,344.47,1550,5,0,0.3619,10.08,0.8547,0,0,14,food,card,0
245,53.0,52548.67,728.46,787,3,0,0.4267,5.07,0.7188,0,0,10,gaming,upi,1
246,22.0,41536.87,52.01,760,3,0,0.0163,4.89,0.7168,0,0,23,food,card,0
247,61.0,124249.02,91.97,2234,4,0,0.067,4.77,0.7808,0,0,21,grocery,wallet,0
248,41.0,71610.71,74.48,3012,4,2,0.0939,14.51,0.8833,1,0,19,grocery,upi,1
249,62.0,117047.45,114.33,2245,1,1,0.3534,9.43,0.8904,0,1,11,food,upi,0
250,20.0,63574.79,271.89,2638,4,0,0.1606,2.6,0.9074,0,1,9,grocery,upi,0
251,28.0,57517.92,115.57,1068,5,0,0.2999,3.2,0.5152,0,1,20,fashion,wallet,0
252,46.0,32858.3,345.67,3782,1,0,0.1649,9.31,0.9305,0,0,4,grocery,card,0
253,28.0,55362.05,522.35,3295,3,0,0.2715,3.37,0.7803,0,0,4,electronics,upi,0
254,36.0,55396.3,541.7,3514,1,0,0.0698,1.53,0.8999,0,0,0,travel,wallet,0
255,55.0,25930.52,58.84,2680,5,0,0.3468,6.24,0.9439,0,0,12,grocery,upi,0
256,26.0,40878.04,719.74,2786,7,0,0.2812,15.44,0.8312,0,0,16,fashion,card,0
257,56.0,46040.79,779.79,311,4,0,0.1483,20.83,0.7076,0,0,13,grocery,,1
258,23.0,69044.2,850.34,669,4,0,0.1171,11.32,0.9617,0,0,17,jewelry,card,0
259,27.0,70886.2,153.72,555,4,0,0.3201,1.37,0.8384,0,0,4,travel,card,0
260,51.0,39949.17,84.87,1948,6,0,0.2454,0.35,0.8914,0,0,6,food,card,0
261,63.0,71179.97,67.27,2364,1,0,0.2998,2.18,0.9407,0,0,17,travel,,0
262,27.0,49758.92,59.81,501,4,0,0.4637,23.3,0.7254,0,1,19,fashion,net_banking,1
263,35.0,15000.0,182.12,3013,9,3,0.2617,13.48,0.5896,0,1,22,food,upi,1
264,70.0,42129.45,420.23,2211,4,1,0.0918,6.04,0.7765,0,0,19,gaming,card,0
265,74.0,99561.64,664.82,2393,3,0,0.0914,0.1,0.6556,0,0,23,travel,net_banking,0
266,51.0,21809.38,110.76,3669,4,1,0.0328,1.31,0.6672,0,0,16,electronics,net_banking,0
267,43.0,58516.77,173.17,2351,3,0,0.1799,15.97,0.8954,0,0,13,jewelry,card,0
268,37.0,131528.93,162.19,45,9,1,0.1863,2.38,0.8903,0,0,0,food,wallet,1
269,52.0,36197.72,95.36,3082,1,0,0.1742,10.57,0.9727,0,1,15,,wallet,0
270,51.0,55065.05,375.67,3507,3,0,0.059,4.68,0.936,0,0,5,fashion,card,0
271,34.0,26846.2,258.74,361,4,0,0.1472,7.44,0.725,0,1,8,travel,net_banking,0
272,19.0,134600.39,207.43,2171,3,0,0.147,12.32,0.7647,0,0,19,electronics,wallet,0
273,26.0,52536.08,257.56,1894,5,0,0.1853,3.16,0.7806,0,0,1,fashion,card,0
274,72.0,56428.7,333.09,630,4,0,0.1934,0.75,0.7574,0,0,23,food,card,0
275,41.0,115838.67,329.77,1126,4,0,0.2665,16.79,0.5648,0,1,5,grocery,wallet,0
276,45.0,79134.29,77.83,3427,4,2,0.2457,2.24,0.8078,0,0,20,fashion,upi,0
277,44.0,33978.82,441.11,1585,2,0,0.2172,12.19,0.8112,0,0,14,fashion,card,0
278,62.0,,232.37,2161,1,1,0.0764,9.1,0.6479,0,0,20,electronics,upi,0
279,21.0,72207.61,116.55,3115,4,1,0.1409,1.86,0.784,0,0,3,travel,upi,0
