Age,Gender,Annual_Income,Employment_Years,Existing_Debt,Credit_History_Years,Num_Credit_Accounts,Late_Payments,Loan_Amount,Credit_Score
50.0,Female,37077,10.7,14404,21.8,5,0,21276,592
34.0,Male,68632,5.1,13836,11.1,8,1,81803,566
41.0,Male,48827,28.6,22130,21.0,5,2,42576,674
21.0,Male,24383,9.9,15521,1.0,5,0,4172,564
44.0,Female,72191,7.4,22255,19.9,3,0,37284,626
29.0,Female,55285,1.1,31671,5.1,4,1,61871,531
52.0,Male,98926,4.3,55774,24.1,5,3,76208,554
32.0,Male,43872,3.2,7918,4.6,8,0,26733,591
42.0,Male,37418,16.5,5656,18.3,8,1,10679,658
22.0,Male,90701,10.1,48762,1.0,4,1,48610,543
44.0,Female,43483,8.3,12972,13.7,2,0,41354,540
41.0,Female,108225,11.9,18841,14.2,4,2,94980,619
33.0,Male,55505,17.1,7669,10.5,8,4,61899,615
69.0,Male,140136,24.2,14643,40.0,4,1,111658,736
46.0,Male,55971,2.7,23522,25.3,7,2,27367,596
53.0,Male,74549,7.7,30790,23.3,5,2,91810,573
36.0,Male,79347,4.1,48320,8.7,3,0,72768,537
34.0,Female,43084,3.9,4692,10.5,6,2,48836,511
27.0,Male,75668,1.6,44619,4.1,7,4,70035,502
31.0,Female,67796,8.6,40151,5.4,4,1,18736,551
54.0,Male,33016,3.3,7794,29.9,5,2,33759,586
29.0,Female,99115,8.1,54418,6.1,2,0,52508,530
36.0,Male,118392,7.2,52611,16.5,6,4,101277,530
29.0,Male,45839,6.9,15792,1.0,7,0,25308,542
41.0,Female,28915,6.6,13117,19.9,3,0,11405,580
21.0,Female,44561,6.6,27528,1.0,5,1,22819,525
41.0,Male,44821,3.6,28788,17.3,7,1,52779,567
34.0,Female,54485,14.8,18810,3.4,7,1,44817,569
35.0,Male,104445,15.2,67782,4.8,6,0,75720,595
21.0,Male,98233,21.1,28048,1.0,3,3,43337,588
49.0,Female,53439,16.3,12468,29.7,5,2,33206,641
25.0,Male,106446,7.5,49463,6.1,4,3,87477,494
36.0,Female,51094,7.4,8222,5.5,7,0,49445,570
42.0,Male,57143,7.8,8951,17.3,5,2,10830,584
45.0,Male,67423,11.9,24684,15.2,10,1,41660,661
25.0,Male,115320,2.8,34301,1.0,6,2,78566,520
47.0,Female,83319,4.5,53368,25.1,5,4,94625,499
52.0,Female,59592,6.5,22732,28.6,4,3,17755,557
47.0,Female,92523,11.3,18956,23.2,5,2,19174,629
45.0,Female,72807,2.7,20209,14.3,7,0,36721,634
25.0,Male,54834,4.1,31469,3.5,9,3,30667,508
45.0,Female,36485,18.2,14719,24.4,6,4,15530,666
39.0,Male,81177,6.0,41937,12.4,4,1,22829,564
41.0,Female,163861,2.9,91099,11.3,8,1,102237,557
44.0,Male,52199,5.2,31951,25.3,2,3,42964,526
34.0,Female,61071,5.2,25215,2.2,7,0,60930,535
47.0,Male,26680,2.9,3493,23.3,2,0,33173,599
41.0,Male,33192,11.6,16667,11.0,1,1,12531,593
40.0,Male,18000,19.8,6365,16.2,6,2,12479,661
39.0,Male,33020,16.8,9195,14.5,5,3,7552,616
32.0,Female,52717,9.8,26758,13.7,3,1,20767,561
33.0,Male,52542,7.0,13219,6.9,4,0,21787,588
33.0,Female,32492,14.5,9024,13.2,5,0,36194,623
34.0,Male,60034,2.9,21086,14.0,6,1,34601,552
39.0,Male,77200,7.1,28393,13.8,5,3,41918,554
38.0,Female,71048,12.6,32122,13.7,5,0,80934,607
42.0,Female,21147,10.3,12869,11.1,5,1,15762,584
37.0,Female,129229,12.4,40745,17.1,5,2,128129,601
42.0,Female,55728,7.7,23456,24.0,5,1,45094,605
44.0,Male,140295,9.8,49948,16.0,3,1,118625,611
37.0,Male,57864,1.2,19297,15.5,3,3,40876,462
33.0,Male,46787,4.8,6429,10.4,5,2,49203,526
51.0,Female,71247,8.2,25081,23.0,4,2,27478,592
38.0,Female,62988,3.3,23109,17.1,4,2,65598,568
45.0,Female,69068,7.8,25711,15.3,4,1,70902,595
59.0,Female,46389,9.6,17434,39.8,5,1,30822,647
46.0,Female,160736,1.0,19013,20.3,3,0,47276,630
50.0,Female,119136,17.0,52357,24.7,5,0,114395,654
38.0,Male,109064,3.2,69694,8.0,2,1,59789,480
45.0,Male,40316,7.0,20773,19.1,4,0,16705,605
28.0,Male,28131,21.6,13124,4.8,6,0,17790,658
40.0,Male,76883,5.7,27465,14.9,7,5,27084,532
40.0,Female,50873,13.3,31432,17.6,2,1,17879,617
43.0,Male,119710,13.6,10653,23.0,7,0,18933,689
58.0,Female,46779,12.3,23362,26.3,6,1,11718,622
30.0,Male,45014,9.8,17485,1.0,4,2,13200,501
29.0,Female,41824,12.6,16961,11.0,6,0,17596,581
43.0,Male,171627,7.6,58117,16.7,4,1,107959,587
29.0,Male,31317,8.6,20289,6.9,5,0,10612,576
39.0,Female,66562,13.5,38613,11.2,7,0,82112,592
37.0,Male,72987,10.5,41909,16.8,5,5,55129,531
49.0,Male,68088,10.8,13999,22.5,6,0,77785,642
22.0,Female,24929,13.6,9093,1.0,7,2,25173,568
41.0,Male,45776,12.0,10839,18.5,5,3,16564,602
36.0,Male,39463,12.3,10922,11.4,5,3,11708,541
33.0,Male,61025,2.6,22913,2.0,3,2,18523,537
26.0,Female,56042,9.7,9195,5.8,5,1,63461,554
33.0,Male,88371,3.7,48349,14.3,7,1,71253,578
37.0,Male,91350,12.1,37985,7.2,7,1,23858,591
26.0,Female,79917,8.1,21694,7.0,5,1,55016,565
37.0,Male,173503,6.9,62754,18.5,4,1,180000,567
21.0,Female,124586,6.1,18011,1.0,5,0,27986,595
50.0,Female,30253,3.0,14508,18.1,6,2,17580,595
46.0,Female,32236,8.3,4614,22.2,6,2,34445,578
44.0,Male,218457,6.1,61261,24.5,8,2,180000,660
40.0,Male,145860,7.8,58645,20.0,4,0,118535,622
31.0,Female,98761,7.5,62944,4.3,4,0,57636,564
40.0,Female,183598,6.8,52477,11.1,6,0,48435,634
21.0,Female,82630,7.2,41001,1.0,4,0,49056,537
32.0,Male,44061,5.6,21154,8.6,3,2,51927,538
29.0,Male,37727,3.4,12014,9.3,4,1,18700,552
38.0,Male,72695,9.4,30001,19.1,1,0,11737,625
48.0,Male,45548,11.0,27797,17.4,5,4,21720,542
32.0,Male,49061,6.8,19667,9.6,4,3,11718,525
39.0,Female,153225,8.8,67003,16.3,6,3,150974,562
37.0,Female,89998,14.3,33643,11.3,7,0,81041,610
32.0,Male,44923,5.4,18611,9.3,5,0,25891,571
42.0,Female,71783,15.4,46047,18.1,6,0,37014,652
26.0,Female,60807,6.1,34303,4.5,5,4,72722,504
40.0,Female,89071,10.9,46779,20.4,4,1,77367,617
44.0,Male,96588,3.0,17908,16.2,6,1,112960,592
52.0,Female,63777,5.2,10058,30.1,4,1,32832,633
49.0,Male,28211,5.7,4795,27.4,3,1,11769,584
41.0,Female,98485,2.8,14465,19.1,3,2,114570,518
50.0,Male,71875,1.9,29784,26.5,6,2,63163,575
48.0,Female,62473,6.9,18542,21.6,5,2,28534,564
28.0,Male,51974,7.7,20211,1.0,3,3,34063,491
31.0,Female,49509,2.8,4295,1.9,5,3,20473,441
35.0,Male,95458,5.8,21683,6.0,8,2,67031,595
22.0,Female,33362,6.0,10765,1.0,4,3,11981,501
32.0,Female,129093,4.9,57072,10.2,4,1,74427,572
33.0,Male,111828,2.1,41350,14.2,5,1,90437,560
40.0,Male,80126,13.0,39925,16.8,7,0,98657,618
55.0,Male,63566,3.5,17838,30.8,4,0,12591,594
40.0,Female,48017,8.1,17027,21.4,4,2,44323,566
42.0,Female,85361,6.8,18071,18.0,7,0,53652,649
27.0,Male,99238,0.9,20781,3.7,6,4,119332,499
36.0,Female,135576,9.2,69354,12.6,5,1,68375,574
40.0,Male,120933,4.5,64730,14.0,4,3,46670,527
28.0,Male,24524,3.7,5991,2.4,2,2,26520,469
33.0,Female,48466,7.7,9972,2.1,3,0,19857,586
36.0,Male,111239,4.3,70435,5.5,4,0,118692,500
42.0,Female,80760,9.4,28964,13.6,8,1,82056,631
42.0,Male,25588,5.1,2057,16.2,3,2,31135,593
24.0,Female,109758,5.1,48633,3.4,5,0,115627,530
51.0,Male,222769,15.1,120000,19.8,7,1,103827,655
21.0,Male,94982,6.7,60079,1.0,3,0,35431,574
21.0,Male,21256,24.7,13197,1.0,6,2,22321,608
44.0,Female,65878,5.8,17062,13.0,5,0,15948,607
47.0,Female,50071,18.2,6721,20.1,6,1,27491,638
41.0,Male,44665,6.2,24244,13.3,4,1,11442,555
21.0,Male,52757,5.6,17374,1.0,7,3,61674,473
23.0,Male,52602,4.0,19811,1.0,8,1,13904,587
35.0,Male,54725,21.3,5200,12.3,4,2,18648,634
64.0,Female,121553,3.6,53527,40.0,6,2,102813,624
28.0,Female,149354,13.9,94419,2.9,6,0,59870,572
44.0,Female,64512,1.2,22263,21.0,9,1,54185,564
30.0,Male,43725,5.6,20891,9.3,2,2,52159,479
39.0,Female,54030,15.6,19088,12.4,9,0,47239,627
41.0,Male,90994,9.3,30742,19.0,4,2,109654,582
38.0,Female,43814,7.3,13795,9.5,4,1,25369,548
37.0,Female,21117,11.2,10062,7.9,3,3,25678,513
39.0,Male,77777,10.6,35788,10.7,1,1,15399,608
61.0,Male,54277,5.3,4422,38.7,6,0,11537,683
46.0,Male,40273,27.2,8088,27.4,5,2,13282,706
45.0,Female,53825,3.7,25837,25.4,7,1,14064,614
29.0,Male,54504,6.5,8477,9.9,5,2,13558,587
36.0,Male,70278,8.3,12241,15.8,3,0,33356,565
44.0,Female,219701,6.7,79973,19.1,5,3,72301,558
31.0,Female,32728,8.1,21194,1.0,5,0,10898,568
54.0,Male,33331,8.2,16642,33.0,7,1,18235,675
66.0,Female,24653,2.8,12311,39.9,3,2,4997,599
50.0,Female,57461,6.3,9290,25.0,5,0,18371,602
39.0,Female,148139,3.7,70992,20.4,4,0,92761,590
24.0,Male,92701,13.4,45068,1.7,7,1,51727,579
24.0,Female,53375,14.7,13161,1.0,3,2,51064,577
26.0,Female,33245,5.0,9726,4.2,7,0,21781,550
38.0,Male,86514,4.8,31797,13.7,3,2,52544,551
37.0,Female,31586,19.1,20065,18.1,1,2,27563,595
47.0,Male,45427,11.3,28725,27.4,8,2,9459,619
70.0,Male,106350,3.3,39075,40.0,9,1,119773,652
50.0,Male,105090,10.4,8595,21.5,6,1,55656,605
36.0,Female,88981,10.3,44615,9.6,5,1,47953,619
55.0,Female,25361,1.8,2402,30.6,2,3,14358,566
38.0,Female,62799,3.5,29534,19.5,5,1,14427,553
27.0,Male,121598,6.2,75985,1.0,4,2,21663,507
33.0,Female,105574,5.4,42796,10.3,7,2,42859,590
38.0,Male,60019,4.5,33467,15.7,4,1,65636,566
29.0,Male,54264,5.2,25580,7.4,9,2,49141,580
24.0,Male,36594,5.7,9405,1.0,4,4,45593,474
34.0,Male,44018,7.6,26676,8.3,6,0,20764,602
52.0,Female,70983,11.6,20550,33.7,4,3,14888,638
32.0,Male,154850,8.0,68838,4.3,5,1,117544,567
44.0,Male,47809,5.6,19117,20.6,5,3,44869,604
32.0,Male,103541,3.8,45570,5.5,3,1,128549,510
36.0,Female,127049,11.6,73591,16.5,6,4,114576,513
32.0,Male,36014,7.8,7748,12.8,4,1,31804,578
37.0,Male,81082,13.3,40041,8.3,4,0,27889,601
31.0,Male,32556,10.4,16083,9.9,5,1,18514,587
52.0,Male,26899,10.2,5223,25.8,6,2,25800,621
47.0,Male,40390,2.0,9572,23.5,5,1,20878,575
56.0,Male,94252,9.0,50891,27.7,4,1,44887,591
29.0,Male,23158,6.7,3484,4.6,5,2,11836,542
40.0,Female,73493,0.8,23825,18.9,4,0,62698,529
39.0,Female,108384,7.7,56751,12.9,2,1,84152,573
58.0,Female,51358,1.0,20762,39.4,7,0,21151,659
21.0,Female,27540,9.1,9055,1.0,5,0,10069,572
28.0,Male,64379,7.5,13419,1.0,7,2,22074,522
32.0,Female,142156,9.8,28897,3.8,6,1,105768,590
34.0,Male,30136,4.4,8409,4.3,5,4,5458,540
58.0,Female,60678,1.3,9592,37.2,8,1,31638,632
37.0,Female,40041,8.8,9756,7.4,4,2,49662,569
27.0,Male,32901,5.6,13339,1.0,7,0,32676,550
44.0,Male,79578,7.3,8688,22.9,5,1,93226,562
24.0,Male,44081,5.9,12805,1.0,5,0,50640,561
35.0,Male,83409,19.8,44756,12.2,4,0,79175,628
29.0,Female,31598,7.9,4064,1.0,6,3,37997,544
54.0,Male,46716,6.2,7482,32.1,8,1,22126,648
51.0,Male,37251,14.7,14595,22.9,12,1,43809,647
39.0,Male,53177,3.8,21319,12.6,4,1,8914,517
36.0,Female,150989,22.9,36105,5.2,7,0,67256,668
45.0,Male,77693,9.5,45666,22.9,3,1,94695,560
45.0,Male,52455,7.0,31410,26.5,7,1,57802,627
47.0,Female,62299,14.8,15117,20.3,6,0,12691,630
28.0,Male,53725,9.0,33970,1.0,5,0,54749,497
50.0,Male,81598,2.5,10342,20.9,6,0,47096,627
36.0,Male,53762,5.2,28403,17.6,5,1,26705,557
38.0,Male,38322,21.6,13628,16.6,4,2,30507,641
43.0,Male,106111,28.7,52018,12.6,5,0,36036,646
62.0,Male,62090,14.0,8976,37.3,4,2,10504,654
43.0,Male,91953,18.7,49595,22.2,9,2,91693,671
40.0,Female,61855,5.7,33774,13.1,5,4,65226,523
51.0,Male,85121,28.4,10018,21.0,5,6,32511,687
56.0,Female,49669,15.4,3990,36.4,2,2,43786,665
27.0,Male,55040,18.9,4750,6.7,5,4,62223,588
46.0,Male,68023,12.5,26789,14.9,6,1,54919,617
43.0,Female,52107,11.8,29822,13.9,7,0,14685,628
28.0,Female,72345,4.2,33070,1.0,3,2,40016,499
33.0,Male,57145,12.3,23480,2.2,3,1,17959,551
21.0,Female,22869,1.6,12321,1.3,10,1,21745,562
31.0,Female,56650,2.7,28021,6.3,4,1,14802,539
35.0,Male,81670,17.9,41902,4.0,2,0,98160,587
49.0,Female,38586,3.6,23400,29.8,4,2,31958,596
49.0,Male,128278,13.0,29079,23.3,2,1,121755,596
52.0,Female,97836,9.8,19007,25.1,4,6,48998,588
31.0,Male,77567,1.9,7942,2.4,5,1,47972,555
44.0,Male,36953,4.1,13325,12.1,6,2,7302,532
50.0,Female,137349,17.5,54423,20.5,5,1,117759,598
50.0,Male,129398,4.8,17641,28.4,2,0,147036,623
52.0,Male,43038,16.3,27974,32.3,3,0,26745,636
41.0,Male,118365,7.3,56561,18.7,6,1,126995,565
29.0,Male,42084,4.3,9506,8.0,6,1,41402,535
,Female,104878,16.0,12773,10.7,3,0,122280,587
41.0,Female,74391,16.9,45895,9.9,4,3,77865,601
44.0,Male,34305,9.5,21870,24.0,5,0,26902,664
31.0,Female,70796,5.5,34626,1.0,6,1,37201,514
56.0,Female,52711,5.4,8726,36.7,2,1,36717,611
54.0,Male,22236,3.6,12615,31.2,6,2,17018,588
43.0,Male,82584,2.1,33157,14.0,7,2,73672,547
55.0,Male,63681,10.9,23479,25.9,7,2,23310,665
27.0,Female,23398,17.0,14031,3.8,3,0,4106,602
21.0,Male,41478,4.7,16824,1.0,3,1,7921,527
36.0,Male,66823,7.1,32284,17.4,5,1,68560,568
35.0,Male,122761,5.0,15277,5.4,4,2,48068,578
56.0,Female,76195,2.5,9826,33.2,5,2,75162,597
21.0,Female,102235,2.0,44169,1.0,4,2,122293,461
32.0,Male,64246,7.0,16871,2.0,4,2,67346,556
36.0,Male,34593,11.2,5499,13.1,5,0,34099,599
50.0,Female,125720,10.9,64712,30.3,6,2,127650,606
63.0,Male,76730,12.8,25332,33.1,3,2,11532,622
34.0,Female,76477,6.0,25187,6.1,5,2,61483,519
29.0,Male,18000,10.3,2068,1.0,5,1,7396,580
21.0,Female,219240,13.9,56955,1.0,4,2,37311,621
21.0,Male,110839,8.9,41724,1.0,2,1,40435,534
29.0,Female,52643,27.2,27664,6.6,6,1,59696,654
38.0,Male,45525,5.0,8558,11.4,5,3,11596,525
29.0,Male,90016,4.2,45631,5.3,8,0,70262,535
54.0,Male,121742,17.7,73649,34.7,3,2,95444,661
50.0,Female,51207,10.5,12726,31.2,5,3,26093,650
22.0,Male,77793,13.1,28294,3.8,5,0,43285,597
21.0,Female,40584,6.5,17397,1.0,4,1,29288,522
57.0,Female,47794,4.2,4753,34.6,4,2,48842,615
21.0,Female,42977,8.2,17227,1.0,6,1,16451,550
41.0,Female,82216,10.0,48599,21.2,5,1,35094,615
42.0,Male,77337,8.1,30083,23.8,6,4,92222,548
35.0,Female,34928,6.4,11231,6.5,11,2,6556,579
21.0,Male,76601,2.7,10357,1.0,3,3,18153,514
35.0,Male,63096,8.1,37103,10.8,2,1,34622,561
26.0,Male,28966,10.5,3705,5.7,4,0,20338,587
43.0,Female,58850,13.1,6878,22.8,4,1,38568,627
57.0,Male,29633,3.3,9555,28.3,9,0,14874,638
45.0,Female,18000,6.9,6452,14.5,3,2,8128,555
45.0,Male,62103,9.1,16577,18.2,5,1,51646,594
56.0,Female,67391,3.1,17797,37.3,3,1,28462,605
49.0,Male,35042,7.6,7842,21.0,5,3,33721,550
45.0,Female,88475,8.9,37335,19.0,4,1,68306,579
44.0,Male,113289,8.8,57730,14.0,1,2,141610,504
45.0,Male,55158,2.1,22024,19.3,5,2,27120,559
52.0,Male,68170,11.3,24147,25.3,3,1,29847,620
56.0,Male,134921,1.4,84269,35.8,3,2,23459,602
34.0,Male,54140,13.6,16970,14.7,4,1,46181,632
37.0,Male,41746,0.9,13731,12.7,5,1,50115,578
40.0,Male,114788,20.6,50574,9.1,8,0,108330,618
35.0,Female,57863,5.2,13443,7.8,1,0,47974,525
46.0,Female,196869,8.1,38351,20.9,4,1,148008,603
42.0,Female,76085,12.2,39017,16.6,9,2,59213,574
40.0,Male,76055,3.5,33330,21.0,4,4,40084,515
41.0,Female,104330,11.5,49933,12.9,6,0,58982,552
60.0,Female,98726,7.9,21101,33.0,8,1,104454,654
29.0,Male,104415,9.5,38572,5.3,6,3,31893,529
33.0,Male,72710,6.8,23193,5.4,4,0,89831,580
49.0,Male,85967,8.8,37144,19.0,6,0,58157,584
40.0,Male,51522,10.2,20033,13.4,7,2,25792,595
44.0,Female,119534,4.4,38722,22.7,4,3,128012,598
56.0,Male,45820,4.2,10050,29.3,4,2,22820,573
38.0,Female,93944,1.1,18650,17.5,7,3,112490,491
57.0,Female,32908,13.7,13390,28.4,4,0,12066,639
44.0,Female,101945,26.0,46060,17.3,5,2,120774,611
30.0,Male,52864,8.5,26875,1.4,5,1,30840,535
30.0,Female,52056,7.1,21860,9.1,9,2,62839,566
33.0,Male,88583,5.9,44850,6.5,7,0,104888,562
21.0,Female,168988,5.0,48774,1.0,5,1,98663,577
25.0,Female,83789,3.6,38219,5.6,8,1,36687,543
35.0,Male,68071,9.1,15741,8.4,4,0,70411,551
61.0,Male,57961,3.3,18037,40.0,5,0,37941,627
39.0,Female,43330,4.5,15591,7.6,9,1,45897,581
33.0,Male,42445,5.4,20715,6.7,6,0,21662,569
42.0,Male,140360,7.8,82992,19.7,5,2,127944,535
41.0,Female,75852,3.4,22038,19.5,3,0,65353,565
70.0,Female,66324,9.3,26972,40.0,3,0,81732,688
40.0,Female,67764,6.7,9575,16.8,5,0,29137,609
54.0,Female,86135,3.7,49827,31.6,6,3,36299,614
38.0,Male,42721,0.7,24806,17.6,6,3,35186,495
41.0,Female,136688,12.6,15519,17.7,8,2,106228,640
23.0,Female,172521,6.2,54596,2.9,3,1,180000,529
32.0,Male,71039,12.9,22846,10.6,2,1,24862,606
28.0,Female,42733,6.2,12919,6.8,5,1,22330,583
46.0,Female,115703,9.3,20149,18.4,5,0,36517,661
39.0,Male,19415,7.4,9074,16.9,5,0,11200,640
53.0,Male,47859,12.2,8554,32.2,2,1,35903,694
32.0,Female,37144,7.2,21030,2.9,4,3,35505,529
47.0,Female,18804,5.8,9232,25.0,5,0,19610,597
41.0,Male,57314,8.3,31501,19.6,3,1,59152,579
42.0,Female,60956,5.5,25318,20.5,4,1,75677,613
29.0,Female,47983,5.4,4604,1.0,8,3,43517,513
36.0,Male,71921,8.1,8780,4.6,6,2,50901,530
22.0,Male,61318,3.8,30911,1.0,6,1,9872,536
33.0,Male,63291,6.2,20960,12.9,3,0,56397,603
21.0,Male,35662,2.3,20295,1.0,5,1,13962,529
47.0,Female,34529,5.7,12936,15.9,3,3,7628,509
46.0,Female,50371,10.1,23934,17.7,6,0,54136,600
38.0,Male,60678,3.6,31223,11.0,7,2,72257,508
38.0,Male,64630,14.8,39810,14.0,9,0,49860,611
59.0,Male,63104,8.8,5711,29.6,9,1,48622,612
43.0,Female,47340,4.5,22352,22.4,5,1,45002,605
34.0,Male,65241,10.3,5396,4.8,7,1,18018,596
42.0,Male,53450,26.0,30218,12.3,10,0,42374,687
44.0,Female,73215,9.3,28446,20.8,8,0,75337,598
50.0,Male,52045,3.9,15203,28.3,7,2,30411,595
29.0,Male,50122,10.3,8194,1.0,3,1,22788,555
31.0,Female,40762,3.5,13509,4.5,5,1,15913,556
36.0,Female,26539,6.5,9765,7.3,3,2,28782,500
47.0,Female,40393,4.7,20013,26.6,6,0,50164,654
43.0,Female,36760,2.2,11165,24.3,3,2,38948,561
28.0,Female,34715,7.9,11845,2.1,5,1,10999,573
44.0,Female,99241,3.2,48861,14.7,4,1,56602,583
30.0,Female,35556,7.8,13276,1.0,7,2,39815,517
32.0,Female,84754,13.9,42968,9.0,4,2,28419,579
48.0,Male,49330,5.0,20964,24.4,5,2,45106,535
38.0,Female,47935,16.9,16587,6.1,8,0,27044,648
41.0,Female,197432,7.4,86460,18.8,6,1,151616,567
37.0,Male,39857,6.7,4671,17.1,4,2,49507,544
36.0,Female,57366,1.5,24333,5.0,5,6,60233,484
21.0,Female,93024,13.3,14584,1.0,4,1,116187,578
22.0,Female,92756,3.8,19492,1.0,3,0,81260,470
43.0,Male,89441,10.4,10948,22.6,4,2,44180,597
37.0,Male,69056,5.7,36828,10.0,6,0,30853,562
46.0,Male,82860,4.8,29947,27.0,6,2,20734,592
40.0,Male,90679,3.2,56496,17.4,4,1,39324,542
42.0,Female,33142,8.5,5447,23.8,5,2,7074,621
45.0,Female,91653,4.5,50202,21.3,2,3,97950,518
33.0,Female,21947,7.0,11890,8.3,6,2,14279,566
56.0,Female,39028,8.8,19660,32.1,3,0,44876,627
58.0,Male,86962,7.4,33870,38.6,5,1,27689,644
31.0,Male,30865,4.1,11468,2.1,5,1,11669,576
53.0,Male,78223,4.3,41031,27.5,4,2,49589,585
36.0,Male,71579,2.0,14032,12.3,5,3,53657,535
45.0,Male,51806,7.8,8441,24.2,7,2,36715,604
21.0,Female,50329,4.2,27491,1.0,3,2,25523,507
21.0,Male,56020,1.7,15108,1.0,5,2,60591,519
46.0,Male,62814,7.3,16228,24.6,3,1,46384,605
46.0,Female,103181,7.6,20880,15.4,5,1,33980,611
49.0,Female,75785,3.5,45239,28.6,4,0,29084,651
34.0,Male,25498,3.0,6664,6.5,4,1,5307,524
31.0,Male,64052,5.4,10128,1.1,8,1,25708,583
32.0,Male,27745,9.3,3956,10.5,3,5,13796,553
42.0,Female,59566,21.5,28739,14.6,6,2,17641,635
33.0,Male,109704,3.4,61726,5.9,5,3,45808,518
29.0,Female,33586,3.0,21478,5.3,4,2,38535,491
57.0,Male,64084,9.3,28452,25.7,3,1,78018,607
31.0,Male,80509,6.2,43346,1.4,1,1,28411,536
56.0,Male,40475,3.3,25520,25.5,2,1,34670,553
59.0,Male,55243,2.8,25331,33.8,8,1,15270,652
61.0,Female,32405,10.6,3548,35.1,3,1,27380,646
44.0,Male,114083,10.3,14812,16.3,2,1,56531,603
47.0,Male,46940,7.1,11235,19.2,6,1,33932,606
43.0,Male,39167,3.0,11682,15.0,6,1,12412,558
25.0,Male,27478,3.2,4881,1.0,7,3,7292,496
43.0,Female,29134,4.5,10199,11.4,4,1,6368,560
48.0,Male,43058,2.4,21754,26.6,1,2,28939,562
37.0,Male,54875,2.5,26795,6.4,11,3,45371,531
43.0,Female,249475,4.7,120000,14.9,11,2,180000,581
41.0,Female,71336,2.9,16118,17.9,3,0,41424,599
31.0,Female,85480,3.3,7846,6.0,4,0,65498,545
36.0,Male,28258,5.6,6900,6.3,5,2,17385,541
43.0,Female,51877,3.2,6071,15.9,4,0,62255,539
49.0,Male,193953,11.4,28535,22.1,6,1,180000,657
49.0,Male,99503,10.9,40155,26.1,4,3,45518,596
41.0,Female,72667,4.1,26196,17.2,2,3,84334,512
21.0,Female,56903,4.5,6368,1.0,5,2,61321,515
54.0,Female,108728,2.9,24931,23.6,5,5,90869,540
47.0,Male,71667,3.6,10266,22.0,3,2,55698,572
30.0,Female,60048,12.7,6232,9.8,4,0,30729,623
